"Subgroup","k","HR (95% CI)","I² (%)","P (within)","P (between)"
"Overall (primary)","10","1.20 (1.04–1.38)","77.5","0.018","—"
"AMD Treatment Setting","","","","","0.007"
"  Community-based","9","1.23 (1.09–1.40)","77.2","0.005",""
"  Hospital/treated","1","0.86 (0.68–1.09)","—","0.210",""
"Geographic Region","","","","","0.043"
"  Asia","4","1.29 (1.02–1.63)","89.2","0.036",""
"  North America","2","1.40 (0.10–20.58)","63.2","0.514",""
"  Europe","3","0.97 (0.61–1.56)","17.2","0.894",""
"  Multi-national","1","1.02 (0.89–1.16)","—","0.792",""
"Study Design","","","","","0.029"
"  Retrospective","5","1.23 (1.00–1.51)","86.7","0.048",""
"  Prospective","4","1.22 (0.96–1.55)","18.5","0.079",""
"  Record linkage","1","0.86 (0.68–1.09)","—","0.210",""
"NOS Quality","","","","","0.030"
"  NOS ≥7 (moderate-high)","8","1.25 (1.08–1.44)","80.0","0.008",""
"  NOS <7 (lower)","2","0.95 (0.23–3.97)","28.1","0.922",""
