id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
LDL_C,AD,AD,LDL_C,Inverse variance weighted,378,-0.00748447301715092,0.0366738580407353,0.838289447505116
LDL_C,AD,AD,LDL_C,Weighted median,378,-0.0505060581002189,0.0515684547464469,0.327383205386502
LDL_C,AD,AD,LDL_C,MR Egger,378,-0.087178551018577,0.058105170072726,0.134360925817314
LDL_C,Dry_AMD,Dry_AMD,LDL_C,Inverse variance weighted,359,-0.0161450057142997,0.0583655699539508,0.78207293547438
LDL_C,Dry_AMD,Dry_AMD,LDL_C,Weighted median,359,0.00750244192009589,0.0837670679104776,0.928634373917871
LDL_C,Dry_AMD,Dry_AMD,LDL_C,MR Egger,359,-0.1197341407669,0.0871884156910192,0.170527049563827
LDL_C,Wet_AMD,Wet_AMD,LDL_C,Inverse variance weighted,359,0.0123355118053139,0.0656763109294846,0.851015523915915
LDL_C,Wet_AMD,Wet_AMD,LDL_C,Weighted median,359,0.046845840898756,0.0883903261397968,0.596120025492587
LDL_C,Wet_AMD,Wet_AMD,LDL_C,MR Egger,359,-0.0735919280009305,0.0983401214472154,0.454747313187388
LDL_C,Any_AMD,Any_AMD,LDL_C,Inverse variance weighted,359,0.00235933193567615,0.0543073420987524,0.965347548591819
LDL_C,Any_AMD,Any_AMD,LDL_C,Weighted median,359,0.0170097300935328,0.0717933627463103,0.812714028005188
LDL_C,Any_AMD,Any_AMD,LDL_C,MR Egger,359,-0.136418889848064,0.0807869413099099,0.0921644353499603
HDL_C,AD,AD,HDL_C,Inverse variance weighted,482,-0.00524787350593085,0.0299549945060384,0.86092881981327
HDL_C,AD,AD,HDL_C,Weighted median,482,-0.0155157759581351,0.0474905306858047,0.74388493166412
HDL_C,AD,AD,HDL_C,MR Egger,482,-0.00731473193222591,0.0441193244789773,0.868388649693637
HDL_C,Dry_AMD,Dry_AMD,HDL_C,Inverse variance weighted,468,0.143364970828263,0.0498546435999132,0.00403184607359826
HDL_C,Dry_AMD,Dry_AMD,HDL_C,Weighted median,468,0.0636300463907795,0.0751504889352878,0.397161413504988
HDL_C,Dry_AMD,Dry_AMD,HDL_C,MR Egger,468,0.0719212777393851,0.0730046184931184,0.325056381063758
HDL_C,Wet_AMD,Wet_AMD,HDL_C,Inverse variance weighted,468,0.116857703709797,0.0548384881536784,0.0330938214195834
HDL_C,Wet_AMD,Wet_AMD,HDL_C,Weighted median,468,0.190141231299883,0.0851865560470028,0.025611209434679
HDL_C,Wet_AMD,Wet_AMD,HDL_C,MR Egger,468,0.105244851604504,0.0803988306123084,0.191167755722385
HDL_C,Any_AMD,Any_AMD,HDL_C,Inverse variance weighted,468,0.124076618591578,0.0440143721654183,0.00481731653578709
HDL_C,Any_AMD,Any_AMD,HDL_C,Weighted median,468,0.118373397609627,0.0661402253531248,0.0734967141270982
HDL_C,Any_AMD,Any_AMD,HDL_C,MR Egger,468,0.0875051328615075,0.0644987655987825,0.175535093351793
logTG,AD,AD,logTG,Inverse variance weighted,452,0.0151645918425045,0.0337058445659616,0.652775436996259
logTG,AD,AD,logTG,Weighted median,452,0.00841488493760267,0.0505927145536132,0.867900388917328
logTG,AD,AD,logTG,MR Egger,452,-0.0191946508325365,0.0515560646049578,0.709840033359696
logTG,Dry_AMD,Dry_AMD,logTG,Inverse variance weighted,435,-0.209032901922593,0.0555501531386487,0.000167915304378985
logTG,Dry_AMD,Dry_AMD,logTG,Weighted median,435,-0.136136682247604,0.0833451475685649,0.102383085873409
logTG,Dry_AMD,Dry_AMD,logTG,MR Egger,435,-0.214047365921574,0.0816182429224043,0.00903539554002203
logTG,Wet_AMD,Wet_AMD,logTG,Inverse variance weighted,435,-0.260081322882022,0.06098103463168,1.99943166241042e-05
logTG,Wet_AMD,Wet_AMD,logTG,Weighted median,435,-0.156538154579114,0.0874929685613963,0.0735904593758892
logTG,Wet_AMD,Wet_AMD,logTG,MR Egger,435,-0.272625408368567,0.0896330950760919,0.00249648656007784
logTG,Any_AMD,Any_AMD,logTG,Inverse variance weighted,435,-0.229242517976186,0.0499023288998175,4.35196389560841e-06
logTG,Any_AMD,Any_AMD,logTG,Weighted median,435,-0.139753961379076,0.069151407539554,0.0432813118762484
logTG,Any_AMD,Any_AMD,logTG,MR Egger,435,-0.230199709362853,0.0733078301282563,0.00180409831646167
TC,AD,AD,TC,Inverse variance weighted,94,-0.00629320075948258,0.0579088187767787,0.913460821045387
TC,AD,AD,TC,Weighted median,94,-0.0668432620107377,0.0734500686665923,0.362795947577782
TC,AD,AD,TC,MR Egger,94,-0.102006286169474,0.0852439126841052,0.234521486865443
TC,Dry_AMD,Dry_AMD,TC,Inverse variance weighted,91,-0.103472831004389,0.183217083589853,0.572240170182715
TC,Dry_AMD,Dry_AMD,TC,Weighted median,91,0.157253599210062,0.118196412277402,0.183372327409647
TC,Dry_AMD,Dry_AMD,TC,MR Egger,91,0.242319300701449,0.251729277059258,0.33834709367529
TC,Wet_AMD,Wet_AMD,TC,Inverse variance weighted,91,-0.0464188143264871,0.190689444204447,0.807675218803423
TC,Wet_AMD,Wet_AMD,TC,Weighted median,91,0.136552698140141,0.131633275624079,0.299562438320989
TC,Wet_AMD,Wet_AMD,TC,MR Egger,91,0.257139136539917,0.26358029719359,0.331925369435996
TC,Any_AMD,Any_AMD,TC,Inverse variance weighted,91,-0.0743465392294953,0.175179988387162,0.671273487387125
TC,Any_AMD,Any_AMD,TC,Weighted median,91,0.102365593842124,0.102040867389323,0.31577290291913
TC,Any_AMD,Any_AMD,TC,MR Egger,91,0.235607806053767,0.241222215069393,0.331352663611581
nonHDL_C,AD,AD,nonHDL_C,Inverse variance weighted,72,-0.0366365198084472,0.0511804991891543,0.474096530005823
nonHDL_C,AD,AD,nonHDL_C,Weighted median,72,-0.057993087062239,0.0612796477883036,0.343961009692086
nonHDL_C,AD,AD,nonHDL_C,MR Egger,72,-0.114934908057032,0.0694767607599717,0.102545699907777
nonHDL_C,Dry_AMD,Dry_AMD,nonHDL_C,Inverse variance weighted,71,-0.0362684257426915,0.0660756678903267,0.58307935835433
nonHDL_C,Dry_AMD,Dry_AMD,nonHDL_C,Weighted median,71,0.0191907915046571,0.0923128542789549,0.835315938197125
nonHDL_C,Dry_AMD,Dry_AMD,nonHDL_C,MR Egger,71,0.00928525334662392,0.0851238496228054,0.913456166936774
nonHDL_C,Wet_AMD,Wet_AMD,nonHDL_C,Inverse variance weighted,71,0.0131668048956099,0.076605251655267,0.863532955649194
nonHDL_C,Wet_AMD,Wet_AMD,nonHDL_C,Weighted median,71,0.150873098109806,0.108865945924526,0.165789268988963
nonHDL_C,Wet_AMD,Wet_AMD,nonHDL_C,MR Egger,71,0.0285612256223405,0.0991664174689992,0.774200074682152
nonHDL_C,Any_AMD,Any_AMD,nonHDL_C,Inverse variance weighted,71,0.00539573707527972,0.0590654594322695,0.927213045599765
nonHDL_C,Any_AMD,Any_AMD,nonHDL_C,Weighted median,71,0.112335532656668,0.0842435423631443,0.182380353942155
nonHDL_C,Any_AMD,Any_AMD,nonHDL_C,MR Egger,71,0.0398246609817319,0.0761897163291683,0.602854713153592
