pathway,outcome,gene,n_snps,n_proteins,beta_ridge,se_ridge,pval_ridge,lambda
Complement,AD,C1QA,29,10,-0.000256072464171758,0.000362967575121299,0.480501120230542,76.0308426986793
Complement,AD,C2,29,10,0,0,,76.0308426986793
Complement,AD,C3,29,10,0,0,,76.0308426986793
Complement,AD,C5,29,10,0,0,,76.0308426986793
Complement,AD,CFB,29,10,0,0,,76.0308426986793
Complement,AD,CFD,29,10,0,0,,76.0308426986793
Complement,AD,CFH,29,10,0,0,,76.0308426986793
Complement,AD,CFI,29,10,0,0,,76.0308426986793
Complement,AD,CFP,29,10,0,0,,76.0308426986793
Complement,AD,SERPING1,29,10,0,0,,76.0308426986793
Complement,Dry_AMD,C1QA,29,10,0.0359728316907182,0.0245361915399657,0.142617479116744,2.19666742245167
Complement,Dry_AMD,C2,29,10,0,0,,2.19666742245167
Complement,Dry_AMD,C3,29,10,0,0,,2.19666742245167
Complement,Dry_AMD,C5,29,10,0,0,,2.19666742245167
Complement,Dry_AMD,CFB,29,10,0,0,,2.19666742245167
Complement,Dry_AMD,CFD,29,10,0,0,,2.19666742245167
Complement,Dry_AMD,CFH,29,10,0,0,,2.19666742245167
Complement,Dry_AMD,CFI,29,10,0,0,,2.19666742245167
Complement,Dry_AMD,CFP,29,10,0,0,,2.19666742245167
Complement,Dry_AMD,SERPING1,29,10,0,0,,2.19666742245167
Complement,Wet_AMD,C1QA,29,10,0.026226782114527,0.0253613274233007,0.301077741483551,3.73393462485861
Complement,Wet_AMD,C2,29,10,0,0,,3.73393462485861
Complement,Wet_AMD,C3,29,10,0,0,,3.73393462485861
Complement,Wet_AMD,C5,29,10,0,0,,3.73393462485861
Complement,Wet_AMD,CFB,29,10,0,0,,3.73393462485861
Complement,Wet_AMD,CFD,29,10,0,0,,3.73393462485861
Complement,Wet_AMD,CFH,29,10,0,0,,3.73393462485861
Complement,Wet_AMD,CFI,29,10,0,0,,3.73393462485861
Complement,Wet_AMD,CFP,29,10,0,0,,3.73393462485861
Complement,Wet_AMD,SERPING1,29,10,0,0,,3.73393462485861
Complement,Any_AMD,C1QA,29,10,0.0489054260103928,0.0454844997618341,0.282280354977417,1.01778586724938
Complement,Any_AMD,C2,29,10,0,0,,1.01778586724938
Complement,Any_AMD,C3,29,10,0,0,,1.01778586724938
Complement,Any_AMD,C5,29,10,0,0,,1.01778586724938
Complement,Any_AMD,CFB,29,10,0,0,,1.01778586724938
Complement,Any_AMD,CFD,29,10,0,0,,1.01778586724938
Complement,Any_AMD,CFH,29,10,0,0,,1.01778586724938
Complement,Any_AMD,CFI,29,10,0,0,,1.01778586724938
Complement,Any_AMD,CFP,29,10,0,0,,1.01778586724938
Complement,Any_AMD,SERPING1,29,10,0,0,,1.01778586724938
Inflammatory,AD,CSF1,15,8,-0.0406356526392117,0.0390157152107652,0.29763421726469,1.00469961466411
Inflammatory,AD,IFNG,15,8,0,0,,1.00469961466411
Inflammatory,AD,IL10,15,8,0,0,,1.00469961466411
Inflammatory,AD,IL18,15,8,0,0,,1.00469961466411
Inflammatory,AD,IL1B,15,8,0,0,,1.00469961466411
Inflammatory,AD,IL6,15,8,0,0,,1.00469961466411
Inflammatory,AD,TGFB1,15,8,0,0,,1.00469961466411
Inflammatory,AD,TNF,15,8,0,0,,1.00469961466411
Inflammatory,Dry_AMD,CSF1,14,8,0.0789439150465474,0.0507834926178302,0.120060617042728,0.726903828834741
Inflammatory,Dry_AMD,IFNG,14,8,0,0,,0.726903828834741
Inflammatory,Dry_AMD,IL10,14,8,0,0,,0.726903828834741
Inflammatory,Dry_AMD,IL18,14,8,0,0,,0.726903828834741
Inflammatory,Dry_AMD,IL1B,14,8,0,0,,0.726903828834741
Inflammatory,Dry_AMD,IL6,14,8,0,0,,0.726903828834741
Inflammatory,Dry_AMD,TGFB1,14,8,0,0,,0.726903828834741
Inflammatory,Dry_AMD,TNF,14,8,0,0,,0.726903828834741
Inflammatory,Wet_AMD,CSF1,14,8,0.163037953285335,0.105087216672699,0.120792989843229,0.492197123236565
Inflammatory,Wet_AMD,IFNG,14,8,0,0,,0.492197123236565
Inflammatory,Wet_AMD,IL10,14,8,0,0,,0.492197123236565
Inflammatory,Wet_AMD,IL18,14,8,0,0,,0.492197123236565
Inflammatory,Wet_AMD,IL1B,14,8,0,0,,0.492197123236565
Inflammatory,Wet_AMD,IL6,14,8,0,0,,0.492197123236565
Inflammatory,Wet_AMD,TGFB1,14,8,0,0,,0.492197123236565
Inflammatory,Wet_AMD,TNF,14,8,0,0,,0.492197123236565
Inflammatory,Any_AMD,CSF1,14,8,0.130450102347193,0.084068619250121,0.120731671090732,0.0671620868401019
Inflammatory,Any_AMD,IFNG,14,8,0,0,,0.0671620868401019
Inflammatory,Any_AMD,IL10,14,8,0,0,,0.0671620868401019
Inflammatory,Any_AMD,IL18,14,8,0,0,,0.0671620868401019
Inflammatory,Any_AMD,IL1B,14,8,0,0,,0.0671620868401019
Inflammatory,Any_AMD,IL6,14,8,0,0,,0.0671620868401019
Inflammatory,Any_AMD,TGFB1,14,8,0,0,,0.0671620868401019
Inflammatory,Any_AMD,TNF,14,8,0,0,,0.0671620868401019
Chemokine,AD,CCL2,19,5,0.00018689766271522,0.000288246160466447,0.516728845016266,119.269299540347
Chemokine,AD,CCL5,19,5,0.000870335297206609,0.000451839538276171,0.0540788592752948,119.269299540347
Chemokine,AD,CX3CL1,19,5,0,0,,119.269299540347
Chemokine,AD,CXCL10,19,5,0,0,,119.269299540347
Chemokine,AD,CXCL12,19,5,0.00120843887519264,0.000627367979084651,0.0540788738639318,119.269299540347
Chemokine,Dry_AMD,CCL2,18,5,0.0207237286836245,0.0185828087152871,0.264760566844712,3.30809265751829
Chemokine,Dry_AMD,CCL5,18,5,-0.0265425204600293,0.0158322256980307,0.0936428417656642,3.30809265751829
Chemokine,Dry_AMD,CX3CL1,18,5,0,0,,3.30809265751829
Chemokine,Dry_AMD,CXCL10,18,5,0,0,,3.30809265751829
