method	id.exposure	id.outcome	outcome	exposure	nsnp	beta	SE	P_value	Cochran_Q	Q_df	Q_P	gene_symbol	assay_target_ID	UniProt_ID	normalization	method_role	n_clumped	CI_lower	CI_upper	OR	OR_CI_lower	OR_CI_upper	Egger_intercept	Egger_intercept_SE	Egger_intercept_P	mean_F	min_F	beta_status	exclusion_reason	beta_source	instrument_scope	inference_role	planned_tests_per_outcome	planned_global_beta_tests	P_FDR_within_outcome	P_Bonferroni_within_outcome	P_FDR_global_36	P_Bonferroni_global_36	minus_log10_P	P_value_display	P_FDR_global_planned	P_Bonferroni_global_planned
"Inverse variance weighted"	"10074_128"	"AD"	"AD"	"10074_128"	3	-0.00124577027840364	0.0886572703481067	0.988788870230217	1.86013035237138	2	0.39452799570371	"BRD2"	"10074_128"	"P25440"	"raw_non_normalized"	"primary"	3	-0.175014020160693	0.172522479603886	0.998755005371262	0.839445251529385	1.18829853279506	0.0347994909186553	0.0661561466607679	0.691718986151045	74.92282071856	32.8244885273641	"reestimated"	"NA"	"deCODE_SomaScan_raw_non_normalized_genome_wide_to_frozen_A1_outcomes"	"genome_wide"	"outcome_triggered_normalization_robustness_not_independent_confirmation"	2	8	0.988788870230217	1	0.988788870230217	1	0.00489643062985959	"9.888e-01"	0.988788870230217	1
"MR Egger"	"10074_128"	"AD"	"AD"	"10074_128"	3	-0.368101555801204	0.705579823842992	0.601878670312229	1.45698587106747	1	0.227410309703685	"BRD2"	"10074_128"	"P25440"	"raw_non_normalized"	"sensitivity"	3	-1.75103801053347	1.01483489893106	0.692046896742799	0.173593657852064	2.75890786113558	0.0347994909186553	0.0661561466607679	0.691718986151045	74.92282071856	32.8244885273641	"reestimated"	"NA"	"deCODE_SomaScan_raw_non_normalized_genome_wide_to_frozen_A1_outcomes"	"genome_wide"	"outcome_triggered_normalization_robustness_not_independent_confirmation"	2	8	NA	NA	NA	NA	0.220491047155086	"6.019e-01"	NA	NA
"Weighted median"	"10074_128"	"AD"	"AD"	"10074_128"	3	-0.00233605187264492	0.0969092728743704	0.980768411824011	NA	NA	NA	"BRD2"	"10074_128"	"P25440"	"raw_non_normalized"	"sensitivity"	3	-0.192278226706411	0.187606122961121	0.997666674573078	0.825077278020465	1.20635826493942	0.0347994909186553	0.0661561466607679	0.691718986151045	74.92282071856	32.8244885273641	"reestimated"	"NA"	"deCODE_SomaScan_raw_non_normalized_genome_wide_to_frozen_A1_outcomes"	"genome_wide"	"outcome_triggered_normalization_robustness_not_independent_confirmation"	2	8	NA	NA	NA	NA	0.00843353017419624	"9.808e-01"	NA	NA
"Inverse variance weighted"	"10074_128"	"any_AMD"	"any_AMD"	"10074_128"	2	3.53391448971639	2.93218738050135	0.22812054010976	713.572991644336	1	3.34355140448579e-157	"BRD2"	"10074_128"	"P25440"	"raw_non_normalized"	"primary"	3	-2.21317277606625	9.28100175549904	34.2578073212375	0.109353144491187	10732.1775511779	NA	NA	NA	95.971986814158	42.0376985798362	"reestimated"	"NA"	"deCODE_SomaScan_raw_non_normalized_genome_wide_to_frozen_A1_outcomes"	"genome_wide"	"outcome_triggered_normalization_robustness_not_independent_confirmation"	2	8	0.290243099149288	0.45624108021952	0.340722475581692	1	0.641835608828074	"2.281e-01"	0.340722475581692	1
"Inverse variance weighted"	"10074_128"	"dry_AMD"	"dry_AMD"	"10074_128"	2	3.59456793879311	2.85674767945647	0.208293109843469	490.478611510401	1	1.12117087498712e-108	"BRD2"	"10074_128"	"P25440"	"raw_non_normalized"	"primary"	3	-2.00465751294157	9.19379339052778	36.3999695750877	0.134706423002618	9835.89167861401	NA	NA	NA	95.971986814158	42.0376985798362	"reestimated"	"NA"	"deCODE_SomaScan_raw_non_normalized_genome_wide_to_frozen_A1_outcomes"	"genome_wide"	"outcome_triggered_normalization_robustness_not_independent_confirmation"	2	8	0.298132166133981	0.416586219686937	0.340722475581692	1	0.681325095901764	"2.083e-01"	0.340722475581692	1
"Inverse variance weighted"	"10074_128"	"wet_AMD"	"wet_AMD"	"10074_128"	2	3.76584984449017	3.00229257518512	0.209723996259486	430.855054030213	1	1.05873198346997e-95	"BRD2"	"10074_128"	"P25440"	"raw_non_normalized"	"primary"	3	-2.11864360287267	9.65034329185301	43.2004038890607	0.120194549535385	15527.1175223178	NA	NA	NA	95.971986814158	42.0376985798362	"reestimated"	"NA"	"deCODE_SomaScan_raw_non_normalized_genome_wide_to_frozen_A1_outcomes"	"genome_wide"	"outcome_triggered_normalization_robustness_not_independent_confirmation"	2	8	0.286983422396224	0.419447992518973	0.340722475581692	1	0.678351875462855	"2.097e-01"	0.340722475581692	1
"Inverse variance weighted"	"8687_26"	"AD"	"AD"	"8687_26"	4	0.176308397716111	0.139830847283098	0.207356004608938	11.2719972681591	3	0.0103424377236101	"TMEM106B"	"8687_26"	"Q9NUM4"	"raw_non_normalized"	"primary"	4	-0.0977600629587599	0.450376858390982	1.19280586053628	0.906866468509209	1.56890332847855	-0.0427362063939483	0.0215171240945695	0.185401477789647	90.3538502341726	30.9024218104778	"reestimated"	"NA"	"deCODE_SomaScan_raw_non_normalized_genome_wide_to_frozen_A1_outcomes"	"genome_wide"	"outcome_triggered_normalization_robustness_not_independent_confirmation"	2	8	0.414712009217877	0.414712009217877	0.340722475581692	1	0.683283383831337	"2.074e-01"	0.340722475581692	1
"MR Egger"	"8687_26"	"AD"	"AD"	"8687_26"	4	0.706674337800421	0.284909477727605	0.0131254619415665	3.79222956001929	2	0.150150856539598	"TMEM106B"	"8687_26"	"Q9NUM4"	"raw_non_normalized"	"sensitivity"	4	0.148251761454316	1.26509691414653	2.02723812634616	1.15980485376633	3.54343612855709	-0.0427362063939483	0.0215171240945695	0.185401477789647	90.3538502341726	30.9024218104778	"reestimated"	"NA"	"deCODE_SomaScan_raw_non_normalized_genome_wide_to_frozen_A1_outcomes"	"genome_wide"	"outcome_triggered_normalization_robustness_not_independent_confirmation"	2	8	NA	NA	NA	NA	1.88188540295873	"1.313e-02"	NA	NA
"Weighted median"	"8687_26"	"AD"	"AD"	"8687_26"	4	0.138573060090461	0.111986962341268	0.215937316977364	NA	NA	NA	"TMEM106B"	"8687_26"	"Q9NUM4"	"raw_non_normalized"	"sensitivity"	4	-0.0809213860984256	0.358067506279347	1.14863359777924	0.92226619153842	1.43056218915113	-0.0427362063939483	0.0215171240945695	0.185401477789647	90.3538502341726	30.9024218104778	"reestimated"	"NA"	"deCODE_SomaScan_raw_non_normalized_genome_wide_to_frozen_A1_outcomes"	"genome_wide"	"outcome_triggered_normalization_robustness_not_independent_confirmation"	2	8	NA	NA	NA	NA	0.665672299041822	"2.159e-01"	NA	NA
"Inverse variance weighted"	"8687_26"	"any_AMD"	"any_AMD"	"8687_26"	4	2.01204086027074	1.90247994199056	0.290243099149288	1268.85343083981	3	8.43268700992308e-275	"TMEM106B"	"8687_26"	"Q9NUM4"	"raw_non_normalized"	"primary"	4	-1.71681982603076	5.74090154657224	7.47856448853144	0.179636515867815	311.344976487289	0.112943737618921	0.506756471721667	0.844324418225475	90.3538502341726	30.9024218104778	"reestimated"	"NA"	"deCODE_SomaScan_raw_non_normalized_genome_wide_to_frozen_A1_outcomes"	"genome_wide"	"outcome_triggered_normalization_robustness_not_independent_confirmation"	2	8	0.290243099149288	0.580486198298576	0.340722475581692	1	0.537238097298305	"2.902e-01"	0.340722475581692	1
