id.exposure	id.outcome	outcome	exposure	method	nsnp	beta	SE	P_value	Cochran_Q	Q_df	Q_P	gene_symbol	assay_target_ID	UniProt_ID	normalization	method_role	n_clumped	CI_lower	CI_upper	OR	OR_CI_lower	OR_CI_upper	Egger_intercept	Egger_intercept_SE	Egger_intercept_P	mean_F	min_F	beta_status	exclusion_reason	beta_source	instrument_scope	inference_role	planned_tests_per_outcome	planned_global_beta_tests	P_FDR_within_outcome	P_Bonferroni_within_outcome	P_FDR_global_36	P_Bonferroni_global_36	minus_log10_P	P_value_display	P_FDR_global_planned	P_Bonferroni_global_planned
"10074_128"	"AD"	"AD"	"10074_128"	"Wald ratio"	1	-0.120543293718166	0.171477079796265	0.482074260410269	NA	NA	NA	"BRD2"	"10074_128"	"P25440"	"smp"	"primary"	1	-0.456638370118846	0.215551782682513	0.886438709286968	0.633409358401328	1.24054622007097	NA	NA	NA	55.7001591942311	55.7001591942311	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	0.717738006079716	1	0.723111390615404	1	0.316886056362278	"4.821e-01"	0.723111390615404	1
"10074_128"	"any_AMD"	"any_AMD"	"10074_128"	"Wald ratio"	1	9.35027164685908	0.224106960950764	0	NA	NA	NA	"BRD2"	"10074_128"	"P25440"	"smp"	"primary"	1	8.91102200339559	9.78952129032258	11501.947488721	7413.23357796106	17845.7611839718	NA	NA	NA	55.7001591942311	55.7001591942311	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	0	0	0	0	379.718921499698	"<1e-300"	0	0
"10074_128"	"dry_AMD"	"dry_AMD"	"10074_128"	"Wald ratio"	1	9.37714770797963	0.263764006791171	7.93914968250289e-277	NA	NA	NA	"BRD2"	"10074_128"	"P25440"	"smp"	"primary"	1	8.86017025466893	9.89412516129032	11815.2660574026	7045.6822027466	19813.625989658	NA	NA	NA	55.7001591942311	55.7001591942311	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	7.1452347142526e-276	7.1452347142526e-276	1.42904694285052e-275	2.85809388570104e-275	276.100226009912	"7.939e-277"	1.42904694285052e-275	2.85809388570104e-275
"10074_128"	"wet_AMD"	"wet_AMD"	"10074_128"	"Wald ratio"	1	9.81923599320883	0.295314091680815	2.0315735331141e-242	NA	NA	NA	"BRD2"	"10074_128"	"P25440"	"smp"	"primary"	1	9.24042037351443	10.3980516129032	18383.9998735234	10305.36975199	32795.6647343437	NA	NA	NA	55.7001591942311	55.7001591942311	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	1.82841617980269e-241	1.82841617980269e-241	2.43788823973691e-241	7.31366471921074e-241	241.692167453698	"2.032e-242"	2.43788823973691e-241	7.31366471921074e-241
"13125_45"	"AD"	"AD"	"13125_45"	"Inverse variance weighted"	21	0.000309048754134645	0.0128079181487744	0.980749306769683	19.7159165494193	20	0.475821896362016	"VTN"	"13125_45"	"P04004"	"smp"	"primary"	24	-0.0247944708174632	0.0254125683257325	1.00030909651462	0.975510387278323	1.02573822033984	-0.0109499707371129	0.00555781140922659	0.0635669287818196	750.95576060511	32.5862100273505	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	0.980749306769683	1	0.987790967584975	1	0.00844199017391223	"9.807e-01"	0.987790967584975	1
"13125_45"	"AD"	"AD"	"13125_45"	"MR Egger"	21	0.0194594817847758	0.0160786364911679	0.226175534392194	15.8342492835799	19	0.668306865099854	"VTN"	"13125_45"	"P04004"	"smp"	"sensitivity"	24	-0.0120546457379132	0.0509736093074649	1.01965005162341	0.988017720429312	1.05229512211973	-0.0109499707371129	0.00555781140922659	0.0635669287818196	750.95576060511	32.5862100273505	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	0.645554374888542	"2.262e-01"	NA	NA
"13125_45"	"AD"	"AD"	"13125_45"	"Weighted median"	21	0.000877140979680415	0.0184035644006991	0.961986039630789	NA	NA	NA	"VTN"	"13125_45"	"P04004"	"smp"	"sensitivity"	24	-0.0351938452456899	0.0369481272050507	1.00087752578033	0.965418256379025	1.03763919419695	-0.0109499707371129	0.00555781140922659	0.0635669287818196	750.95576060511	32.5862100273505	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	0.01683123041053	"9.620e-01"	NA	NA
"13125_45"	"any_AMD"	"any_AMD"	"13125_45"	"Inverse variance weighted"	18	0.00903696680232539	0.0081360175414819	0.26668204276873	18.6024139106471	17	0.351824521002966	"VTN"	"13125_45"	"P04004"	"smp"	"primary"	24	-0.00690962757897913	0.0249835611836299	1.00907792346853	0.9931141890115	1.02529826569598	-0.0165189528918412	0.00699143461928517	0.0311401595938796	864.978214080975	32.5862100273505	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	0.464094329127269	1	0.533364085537461	1	0.574006226863597	"2.667e-01"	0.533364085537461	1
"13125_45"	"any_AMD"	"any_AMD"	"13125_45"	"MR Egger"	18	0.0177657769384871	0.00861051844192852	0.0390875059430238	13.0198663983548	16	0.671304655982082	"VTN"	"13125_45"	"P04004"	"smp"	"sensitivity"	24	0.000889160792307175	0.034642393084667	1.0179245270666	1.00088955621295	1.03524943024113	-0.0165189528918412	0.00699143461928517	0.0311401595938796	864.978214080975	32.5862100273505	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	1.4079620397171	"3.909e-02"	NA	NA
"13125_45"	"any_AMD"	"any_AMD"	"13125_45"	"Weighted median"	18	0.012144236194066	0.00883288058525672	0.169165655075118	NA	NA	NA	"VTN"	"13125_45"	"P04004"	"smp"	"sensitivity"	24	-0.00516820975303716	0.0294566821411692	1.01221827684927	0.9948451224652	1.02989482166712	-0.0165189528918412	0.00699143461928517	0.0311401595938796	864.978214080975	32.5862100273505	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	0.771687805158695	"1.692e-01"	NA	NA
