method	id.exposure	id.outcome	outcome	exposure	nsnp	beta	SE	P_value	Cochran_Q	Q_df	Q_P	gene_symbol	assay_target_ID	UniProt_ID	normalization	method_role	n_clumped	CI_lower	CI_upper	OR	OR_CI_lower	OR_CI_upper	Egger_intercept	Egger_intercept_SE	Egger_intercept_P	mean_F	min_F	beta_status	exclusion_reason	beta_source	instrument_scope	inference_role	planned_tests_per_outcome	planned_global_beta_tests	P_FDR_within_outcome	P_Bonferroni_within_outcome	P_FDR_global_36	P_Bonferroni_global_36	minus_log10_P	P_value_display	P_FDR_global_planned	P_Bonferroni_global_planned
"not_estimable"	NA	NA	"AD"	NA	0	NA	NA	NA	NA	NA	NA	"BRD2"	"10074_128"	"P25440"	"smp"	"primary"	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not_estimable"	"No variants remained after PLINK clumping"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	NA	NA	NA	NA
"not_estimable"	NA	NA	"any_AMD"	NA	0	NA	NA	NA	NA	NA	NA	"BRD2"	"10074_128"	"P25440"	"smp"	"primary"	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not_estimable"	"No variants remained after PLINK clumping"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	NA	NA	NA	NA
"not_estimable"	NA	NA	"dry_AMD"	NA	0	NA	NA	NA	NA	NA	NA	"BRD2"	"10074_128"	"P25440"	"smp"	"primary"	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not_estimable"	"No variants remained after PLINK clumping"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	NA	NA	NA	NA
"not_estimable"	NA	NA	"wet_AMD"	NA	0	NA	NA	NA	NA	NA	NA	"BRD2"	"10074_128"	"P25440"	"smp"	"primary"	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not_estimable"	"No variants remained after PLINK clumping"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	NA	NA	NA	NA
"Inverse variance weighted"	"13125_45"	"AD"	"AD"	"13125_45"	7	-0.0120851157966583	0.019875649776029	0.54316342380412	1.37773213729979	6	0.96719898581923	"VTN"	"13125_45"	"P04004"	"smp"	"primary"	9	-0.0510413893576751	0.0268711577643585	0.987987615929974	0.950239339922581	1.02723544292591	-0.00088769607817241	0.0181169684002438	0.962817878481448	1548.44123615105	36.093894612707	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	0.848690421770934	1	0.969931910595353	1	0.265069482790265	"5.432e-01"	0.969931910595353	1
"MR Egger"	"13125_45"	"AD"	"AD"	"13125_45"	7	-0.00991698304959342	0.0485082284245587	0.83801030566956	1.3753313286413	5	0.926992621281863	"VTN"	"13125_45"	"P04004"	"smp"	"sensitivity"	9	-0.104993110761728	0.0851591446625416	0.99013202807883	0.900330725157789	1.08889034399629	-0.00088769607817241	0.0181169684002438	0.962817878481448	1548.44123615105	36.093894612707	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	0.0767506404772397	"8.380e-01"	NA	NA
"Weighted median"	"13125_45"	"AD"	"AD"	"13125_45"	7	-0.0116635330080759	0.0207650566634087	0.574326975391441	NA	NA	NA	"VTN"	"13125_45"	"P04004"	"smp"	"sensitivity"	9	-0.052363044068357	0.0290359780522053	0.988404222315053	0.948984281182537	1.02946163183319	-0.00088769607817241	0.0181169684002438	0.962817878481448	1548.44123615105	36.093894612707	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	0.240840784992523	"5.743e-01"	NA	NA
"Inverse variance weighted"	"13125_45"	"any_AMD"	"any_AMD"	"13125_45"	7	0.0169095519703806	0.0242745981981941	0.48605658913251	2.7768949118369	6	0.83628262063117	"VTN"	"13125_45"	"P04004"	"smp"	"primary"	9	-0.0306686604980799	0.064487764438841	1.01705332769543	0.969796851852768	1.06661252756199	-0.00183981718823386	0.0234913879939819	0.940612160509484	1548.44123615105	36.093894612707	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	0.729084883698765	1	0.920949326777388	1	0.313313165064293	"4.861e-01"	0.920949326777388	1
"MR Egger"	"13125_45"	"any_AMD"	"any_AMD"	"13125_45"	7	0.0213499931314704	0.0616750079711718	0.729215499784761	2.77076107826888	5	0.735276382801813	"VTN"	"13125_45"	"P04004"	"smp"	"sensitivity"	9	-0.0995330224920263	0.142233008754967	1.021579534896	0.905260055431954	1.15284524027778	-0.00183981718823386	0.0234913879939819	0.940612160509484	1548.44123615105	36.093894612707	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	0.137144108805526	"7.292e-01"	NA	NA
"Weighted median"	"13125_45"	"any_AMD"	"any_AMD"	"13125_45"	7	0.0193344456205015	0.0278028983198659	0.486797672079754	NA	NA	NA	"VTN"	"13125_45"	"P04004"	"smp"	"sensitivity"	9	-0.0351592350864356	0.0738281263274387	1.01952256646235	0.965451670236851	1.07662174665975	-0.00183981718823386	0.0234913879939819	0.940612160509484	1548.44123615105	36.093894612707	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	0.312651507281197	"4.868e-01"	NA	NA
