gene_symbol	method	id.exposure	id.outcome	outcome	exposure	nsnp	beta	SE	P_value	Q	Q_df	Q_pval	protein_name	protein_form_or_isoform	method_role	CI_lower	CI_upper	OR	OR_CI_lower	OR_CI_upper	Cochran_Q	Q_P	Egger_intercept	Egger_intercept_SE	Egger_intercept_P	Steiger_direction	Steiger_P	Steiger_method	mean_F	min_F	planned_family_size	observed_primary_tests_in_family	P_FDR_observed_reestimated	P_Bonferroni_planned_family	corrected_significance_FDR_observed	corrected_significance_Bonferroni_planned	beta_status	exclusion_reason	beta_source	availability_scope	analysis_set	planned_family_total	P_FDR_all_estimable	P_Bonferroni_planned_20	corrected_significance_FDR_all_estimable	corrected_significance_Bonferroni_planned_20	assay_target_ID	UniProt_ID
"BCAM"	"not_estimable"	NA	NA	"AD"	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	"primary"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not_estimable"	NA	NA	5	5	NA	NA	NA	NA	"not_estimable"	"No cis pQTL remained after selection, clumping or harmonization."	"PWAS2026_crosswalk_extension_same_assay"	"planned_frozen_set"	"PWAS5_cis_only_sensitivity"	20	NA	NA	NA	NA	"OID21076"	"P50895"
"BCAM"	"not_estimable"	NA	NA	"any_AMD"	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	"primary"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not_estimable"	NA	NA	5	5	NA	NA	NA	NA	"not_estimable"	"No cis pQTL remained after selection, clumping or harmonization."	"PWAS2026_crosswalk_extension_same_assay"	"planned_frozen_set"	"PWAS5_cis_only_sensitivity"	20	NA	NA	NA	NA	"OID21076"	"P50895"
"BCAM"	"not_estimable"	NA	NA	"dry_AMD"	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	"primary"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not_estimable"	NA	NA	5	5	NA	NA	NA	NA	"not_estimable"	"No cis pQTL remained after selection, clumping or harmonization."	"PWAS2026_crosswalk_extension_same_assay"	"planned_frozen_set"	"PWAS5_cis_only_sensitivity"	20	NA	NA	NA	NA	"OID21076"	"P50895"
"BCAM"	"not_estimable"	NA	NA	"wet_AMD"	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	"primary"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not_estimable"	NA	NA	5	5	NA	NA	NA	NA	"not_estimable"	"No cis pQTL remained after selection, clumping or harmonization."	"PWAS2026_crosswalk_extension_same_assay"	"planned_frozen_set"	"PWAS5_cis_only_sensitivity"	20	NA	NA	NA	NA	"OID21076"	"P50895"
"CD55"	"Inverse variance weighted"	"CD55"	"AD"	"AD"	"CD55"	2	-0.0665972930034149	0.0430444634930255	0.121821191530165	3.20648348841812	1	0.0733469642710584	"CD55"	"not_reported"	"primary"	-0.150964441449745	0.0177698554429151	0.935571886829379	0.859878274140417	1.01792867868476	3.20648348841812	0.0733469642710584	NA	NA	NA	TRUE	4.86007752212218e-186	"approximate_quantitative_trait_correlation_sensitivity"	1452.96872430386	120.415476830491	5	5	0.24364238306033	0.609105957650826	FALSE	FALSE	"reestimated_cis_only"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"reestimated_subset"	"PWAS5_cis_only_sensitivity"	20	0.49116948912766	1	FALSE	FALSE	"OID20377"	"P08174"
"CD55"	"Wald ratio"	"CD55"	"any_AMD"	"any_AMD"	"CD55"	1	0.0127194192267471	0.0322499767249013	0.693285093583973	NA	NA	NA	"CD55"	"not_reported"	"primary"	-0.0504905351540595	0.0759293736075537	1.01280065509847	0.950762927454375	1.078886373614	NA	NA	NA	NA	NA	TRUE	5.82023157325564e-183	"approximate_quantitative_trait_correlation_sensitivity"	2785.52197177723	2785.52197177723	5	5	0.693285093583973	1	FALSE	FALSE	"reestimated_cis_only"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"reestimated_subset"	"PWAS5_cis_only_sensitivity"	20	0.792325821238826	1	FALSE	FALSE	"OID20377"	"P08174"
"CD55"	"Wald ratio"	"CD55"	"dry_AMD"	"dry_AMD"	"CD55"	1	-0.0307579887716594	0.0381867507312711	0.420552942665567	NA	NA	NA	"CD55"	"not_reported"	"primary"	-0.105604020204951	0.044088042661632	0.969710225443421	0.899780872587931	1.04507436196654	NA	NA	NA	NA	NA	TRUE	2.76418457012334e-176	"approximate_quantitative_trait_correlation_sensitivity"	2785.52197177723	2785.52197177723	5	5	0.764916441587061	1	FALSE	FALSE	"reestimated_cis_only"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"reestimated_subset"	"PWAS5_cis_only_sensitivity"	20	0.672884708264907	1	FALSE	FALSE	"OID20377"	"P08174"
"CD55"	"Wald ratio"	"CD55"	"wet_AMD"	"wet_AMD"	"CD55"	1	0.0581695596351331	0.0429394176245543	0.175516642375858	NA	NA	NA	"CD55"	"not_reported"	"primary"	-0.0259916989089933	0.142330818179259	1.05989469583282	0.974343177686569	1.15295800492167	NA	NA	NA	NA	NA	TRUE	1.4388063918316e-167	"approximate_quantitative_trait_correlation_sensitivity"	2785.52197177723	2785.52197177723	5	5	0.296314376576551	0.877583211879288	FALSE	FALSE	"reestimated_cis_only"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"reestimated_subset"	"PWAS5_cis_only_sensitivity"	20	0.49116948912766	1	FALSE	FALSE	"OID20377"	"P08174"
"LILRB1"	"Inverse variance weighted"	"LILRB1"	"AD"	"AD"	"LILRB1"	5	-0.00405291115947705	0.0268748635703639	0.880128151818218	2.48864876158874	4	0.646669555160538	"LILRB1"	"not_reported"	"primary"	-0.0567276437573902	0.0486218214384361	0.99595529080061	0.944851370495241	1.04982325500974	2.48864876158874	0.646669555160538	-0.0126468986441288	0.0240479851692199	0.635354026230468	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	1091.23569298351	33.0680402912914	5	5	0.880128151818218	1	FALSE	FALSE	"reestimated_cis_only"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"reestimated_subset"	"PWAS5_cis_only_sensitivity"	20	0.880128151818218	1	FALSE	FALSE	"OID20323"	"Q8NHL6"
"LILRB1"	"MR Egger"	"LILRB1"	"AD"	"AD"	"LILRB1"	5	0.0350634735211641	0.0790858466896147	0.687530308200835	2.21207518546001	3	0.529573854231531	"LILRB1"	"not_reported"	"sensitivity"	-0.119944785990481	0.190071733032809	1.03568544531537	0.886969408502545	1.20933634390956	2.21207518546001	0.529573854231531	-0.0126468986441288	0.0240479851692199	0.635354026230468	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	1091.23569298351	33.0680402912914	5	NA	NA	NA	NA	NA	"reestimated_cis_only"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"reestimated_subset"	"PWAS5_cis_only_sensitivity"	20	NA	NA	NA	NA	"OID20323"	"Q8NHL6"
