gene_symbol	protein_name	protein_form_or_isoform	local_Olink_target_ID	target_assay_mapping_status	target_assay_mapping_confidence	target_assay_mapping_eligible	local_Olink_assay_available	rs429358_alpha_available	rs7412_alpha_available	beta_reestimated_current_A1	eligible_for_two_step_MR	exclusion_reason
"ACE"	"ACE"	"not_reported"	"OID30696"	"name_matched_moderate"	"moderate"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"NA"
"BLNK"	"BLNK"	"UniProt-mapped protein"	"OID30541"	"name_matched_high"	"high"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"NA"
"BLNK"	"BLNK"	"assay_specific_target"	"OID30541"	"name_matched_high"	"high"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"NA"
"BRD2"	"BRD2"	"not_reported"	"OID30826"	"name_matched_moderate"	"moderate"	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	"beta_not_reestimable"
"C1R"	"C1R"	"assay_specific_target"	"OID30753"	"name_matched_high"	"high"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"NA"
"C1S"	"C1S"	"assay_specific_target"	"OID30731"	"name_matched_high"	"high"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"NA"
"CD226"	"CD226"	"not_reported"	"OID30556"	"name_matched_moderate"	"moderate"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"NA"
"CD2AP"	"CD2AP"	"UniProt-mapped protein"	"OID20177"	"name_matched_high"	"high"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"NA"
"CD2AP"	"CD2AP"	"assay_specific_target"	"OID20177"	"name_matched_high"	"high"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"NA"
"CD33"	"CD33"	"assay_specific_target"	"OID21472"	"name_matched_high"	"high"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"NA"
"CLN5"	"CLN5"	"assay_specific_target"	"mapping_unresolved"	"name_matched_not_mapped"	"not_mapped"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"local_Olink_assay_unavailable"
"COL10A1"	"COL10A1"	"not_reported"	"mapping_unresolved"	"name_matched_not_mapped"	"not_mapped"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"local_Olink_assay_unavailable"
