record_id	PMID	protein_name	gene_symbol	assay_target_ID	proteomic_platform	disease	disease_subtype	evidence_tier	inclusion_status	exclusion_reason	high_complexity_locus	mapping_confidence	PP_H4	replication_status	source_table_file	source_sheet	source_row	manual_verification_status	notes
PMID41630303	41630303	A4GALT	A4GALT	8759_29_A4GALT_a1_4_Galactosyltransferase	deCODE SomaScan	AD	AD	Tier2	literature_source_universe_tier2	not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication	false	moderate	not_reported	not_reported	data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx	Table S3	32	full_text_and_source_table_verified	Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only.
PMID40050982	40050982	ACAA1	ACAA1	P09110	UKB-PPP Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	NA	replication_not_corrected_or_direction_inconsistent	data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx	Table S2	49	full_text_and_source_table_verified	Replication P=0.920186130950414; replication PP.H4=NA.
PMID41350740	41350740	ACADV	ACADVL	deCODE protein label requires cross-platform mapping	deCODE SomaScan	AD	AD	Tier2	literature_source_universe_tier2	mapping_not_high_confidence;no_strong_colocalization_or_independent_replication	false	moderate	0.502	single_external_replication_reported	data_raw\literature_fulltext\PMID41350740_PMC12681122\supplements\13195_2025_1901_MOESM1_ESM.xlsx	Table S6	10	full_text_and_source_table_verified	Source-paper tier was not copied automatically; raw FDR, coloc and replication fields drive A1 tiering.
PMID40037332	40037332	ACE	ACE	10714_7	SomaScan	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	0.00353700699289929	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	1901	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40037332	40037332	ACE	ACE	OID30696	Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	0.00124959979916101	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	16	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40050982	40050982	ACE	ACE	P12821	UKB-PPP Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	NA	replication_not_corrected_or_direction_inconsistent	data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx	Table S2	40	full_text_and_source_table_verified	Replication P=NA; replication PP.H4=NA.
PMID40037332	40037332	ACHE	ACHE	OID30585	Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	1.47316715525231e-11	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	43	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40050982	40050982	ACHE	ACHE	P22303	UKB-PPP Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	NA	replication_not_corrected_or_direction_inconsistent	data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx	Table S2	45	full_text_and_source_table_verified	Replication P=0.00597608290751001; replication PP.H4=NA.
PMID40037332	40037332	ADGRE1	ADGRE1	OID31483	Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	0.602897884960128	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	45	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID41630303	41630303	ALDH1A3	ALDH1A3	9835_16_ALDH1A3_AL1A3	deCODE SomaScan	AD	AD	Tier2	literature_source_universe_tier2	not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication	false	moderate	not_reported	not_reported	data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx	Table S3	40	full_text_and_source_table_verified	Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only.
PMID40037332	40037332	APOC1	APOC1	15364_101	SomaScan	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication;high_complexity_locus_requires_downgrade	true	high	6.47088278658519e-293	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	1894	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40037332	40037332	APOC1	APOC1	OID30749	Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication;high_complexity_locus_requires_downgrade	true	high	0.0	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	5	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40037332	40037332	APOE	APOE	2418_55	SomaScan	AD	AD	Tier2	protein_outcome_evidence_excluded_from_APOE_mediation	APOE_protein_default_exclusion_due_to_cis_circularity	true	high	3.99621865197126e-76	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	1895	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40037332	40037332	APOE	APOE	OID30727	Olink	AD	AD	Tier2	protein_outcome_evidence_excluded_from_APOE_mediation	APOE_protein_default_exclusion_due_to_cis_circularity	true	high	1.0	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	4	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40050982	40050982	APOE	APOE	P02649	UKB-PPP Olink	AD	AD	Tier2	protein_outcome_evidence_excluded_from_APOE_mediation	APOE_protein_default_exclusion_due_to_cis_circularity	true	high	NA	replication_not_corrected_or_direction_inconsistent	data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx	Table S2	5	full_text_and_source_table_verified	Replication P=NA; replication PP.H4=NA.
PMID41630303	41630303	APOE	APOE	2418_55_APOE_Apo_E	deCODE SomaScan	AD	AD	Tier2	protein_outcome_evidence_excluded_from_APOE_mediation	APOE_protein_default_exclusion_due_to_cis_circularity	true	moderate	not_reported	not_reported	data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx	Table S3	24	full_text_and_source_table_verified	Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only.
PMID40037332	40037332	APP	APP	3171_57	SomaScan	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	0.00367926822456761	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	1917	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40037332	40037332	APP	APP	OID21070	Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	0.00949179261033441	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	40	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40050982	40050982	APP	APP	P05067	UKB-PPP Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	NA	replication_not_corrected_or_direction_inconsistent	data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx	Table S2	52	full_text_and_source_table_verified	Replication P=0.0301196900619096; replication PP.H4=NA.
