gene_symbol	assay_target_ID	UniProt_ID	outcome	method	method_role	nsnp	beta	SE	P_value	CI_lower	CI_upper	OR	OR_CI_lower	OR_CI_upper	Cochran_Q	Q_df	Q_P	Egger_intercept	Egger_intercept_SE	Egger_intercept_P	Steiger_direction	Steiger_P	Steiger_method	mean_F	min_F	planned_family_size	observed_primary_tests_in_family	P_FDR_observed_reestimated	P_Bonferroni_planned_family	corrected_significance_FDR_observed	corrected_significance_Bonferroni_planned	beta_status	exclusion_reason	beta_source	id.exposure	id.outcome	exposure	analysis_set	Q	Q_pval	protein_name	protein_form_or_isoform	availability_scope
ACE	OID30696	P12821	AD	Inverse variance weighted	primary	12	-0.0596791257959559	0.0286862747418735	0.0374882208856855	-0.115904224290028	-0.00345402730188388	0.942066770016704	0.890560513278486	0.996551930988411	14.487371349179	11	0.2071879847947	0.000392779055371697	0.0305384424658496	0.989991042361252	TRUE	0	approximate_quantitative_trait_correlation_sensitivity	305.114031258135	36.5135262805219	27	25	0.183582690551333	1	FALSE	FALSE	reestimated	NA	current_A1_reestimated	ACE	AD	ACE	genome_wide_instruments_primary	NA	NA	ACE	NA	NA
ACE	OID30696	P12821	AD	Inverse variance weighted	primary	6	-0.101818345523506	0.0347206467749983	0.00336243398838523	-0.169870813202503	-0.0337658778445095	0.903193605929488	0.843773813992561	0.966797826934106	4.85483962980998	5	0.433851575529378	0.0270109344117231	0.0177276403489717	0.20226669410781	TRUE	1.15600763772734e-241	approximate_quantitative_trait_correlation_sensitivity	353.337430045278	43.5356432986411	27	25	0.00840608497096308	0.0907857176864013	TRUE	FALSE	reestimated_cis_only	NA	current_A1_reestimated	ACE	AD	ACE	cis_only_sensitivity	4.85483962980998	0.433851575529378	ACE	not_reported	reestimated_subset
ACE	OID30696	P12821	AD	MR Egger	sensitivity	12	-0.0609350785707859	0.102179663392643	0.564194791071357	-0.261207218820367	0.139337061678795	0.940884321348104	0.770121319448216	1.14951149098556	14.4871316948467	10	0.151908696831987	0.000392779055371697	0.0305384424658496	0.989991042361252	TRUE	0	approximate_quantitative_trait_correlation_sensitivity	305.114031258135	36.5135262805219	27	NA	NA	NA	NA	NA	reestimated	NA	current_A1_reestimated	ACE	AD	ACE	genome_wide_instruments_primary	NA	NA	ACE	NA	NA
ACE	OID30696	P12821	AD	MR Egger	sensitivity	6	-0.209017129200141	0.0784569371913263	0.0561499166679278	-0.36279272609514	-0.055241532305141	0.811381337211062	0.695730625358423	0.946256568819651	2.5332933162997	4	0.638684196491988	0.0270109344117231	0.0177276403489717	0.20226669410781	TRUE	1.15600763772734e-241	approximate_quantitative_trait_correlation_sensitivity	353.337430045278	43.5356432986411	27	NA	NA	NA	NA	NA	reestimated_cis_only	NA	current_A1_reestimated	ACE	AD	ACE	cis_only_sensitivity	2.5332933162997	0.638684196491988	ACE	not_reported	reestimated_subset
ACE	OID30696	P12821	AD	Weighted median	sensitivity	12	-0.0666464924567665	0.0270702490605146	0.0138171223341401	-0.119704180615375	-0.0135888042981579	0.935525858336273	0.887182843785594	0.986503106711713	NA	NA	NA	0.000392779055371697	0.0305384424658496	0.989991042361252	TRUE	0	approximate_quantitative_trait_correlation_sensitivity	305.114031258135	36.5135262805219	27	NA	NA	NA	NA	NA	reestimated	NA	current_A1_reestimated	ACE	AD	ACE	genome_wide_instruments_primary	NA	NA	ACE	NA	NA
ACE	OID30696	P12821	AD	Weighted median	sensitivity	6	-0.111486797496491	0.0373428535901455	0.00283122373858413	-0.184678790533176	-0.0382948044598057	0.89450320100696	0.831371285295417	0.962429170653133	NA	NA	NA	0.0270109344117231	0.0177276403489717	0.20226669410781	TRUE	1.15600763772734e-241	approximate_quantitative_trait_correlation_sensitivity	353.337430045278	43.5356432986411	27	NA	NA	NA	NA	NA	reestimated_cis_only	NA	current_A1_reestimated	ACE	AD	ACE	cis_only_sensitivity	NA	NA	ACE	not_reported	reestimated_subset
BLNK	OID30541	Q8WV28	AD	Inverse variance weighted	primary	5	0.110486245251807	0.107804874097203	0.305423376298186	-0.10081130797871	0.321783798482324	1.11682098735501	0.904103613930085	1.37958647502219	10.7567630310744	4	0.0294380527205171	-0.0260874426617199	0.0338275347722834	0.496767175210354	TRUE	4.47911525224774e-75	approximate_quantitative_trait_correlation_sensitivity	81.73787791692	30.3739165692116	27	25	0.54539888624676	1	FALSE	FALSE	reestimated	NA	current_A1_reestimated	BLNK	AD	BLNK	genome_wide_instruments_primary	NA	NA	BLNK	NA	NA
BLNK	OID30541	Q8WV28	AD	Wald ratio	primary	1	0.635360595591977	0.180096944377494	0.000418900367248576	0.282370584612089	0.988350606571865	1.88770271602363	1.32627012422725	2.68679922663507	NA	NA	NA	NA	NA	NA	TRUE	7.54899534421879e-10	approximate_quantitative_trait_correlation_sensitivity	55.024245147595	55.024245147595	27	25	0.00209450183624288	0.0113103099157116	TRUE	TRUE	reestimated_cis_only	NA	current_A1_reestimated	BLNK	AD	BLNK	cis_only_sensitivity	NA	NA	BLNK	not_reported	reestimated_subset
BLNK	OID30541	Q8WV28	AD	MR Egger	sensitivity	5	0.368500014398067	0.35336454067579	0.373667650767229	-0.32409448532648	1.06109451412262	1.44556466144206	0.723181909072862	2.88953189258993	8.97710223613131	3	0.0295968789940435	-0.0260874426617199	0.0338275347722834	0.496767175210354	TRUE	4.47911525224774e-75	approximate_quantitative_trait_correlation_sensitivity	81.73787791692	30.3739165692116	27	NA	NA	NA	NA	NA	reestimated	NA	current_A1_reestimated	BLNK	AD	BLNK	genome_wide_instruments_primary	NA	NA	BLNK	NA	NA
BLNK	OID30541	Q8WV28	AD	Weighted median	sensitivity	5	0.0439259742718779	0.0791768482973452	0.579043054576086	-0.111260648390919	0.199112596934674	1.04490500217183	0.894705514981499	1.22031936238404	NA	NA	NA	-0.0260874426617199	0.0338275347722834	0.496767175210354	TRUE	4.47911525224774e-75	approximate_quantitative_trait_correlation_sensitivity	81.73787791692	30.3739165692116	27	NA	NA	NA	NA	NA	reestimated	NA	current_A1_reestimated	BLNK	AD	BLNK	genome_wide_instruments_primary	NA	NA	BLNK	NA	NA
BRD2	OID30826	NA	AD	not_estimable	primary	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	NA	NA	NA	NA	NA	not_reestimable	No harmonizable protein instruments were available for the current outcome GWAS.	published_beta_retained_in_provenance_only	NA	NA	NA	NA	NA	NA	BRD2	Olink assay-level target	planned_primary_gene
