exposure,outcome,b,se,pval,fdr,log10p,significant
APOE,AD,0.0593382904870361,0.215716600750876,0.783258452330778,0.939910142796933,0.106094909844521,NS
APOE,Any_AMD,-0.275678595486947,0.50754628934006,0.587019979646379,0.704423975575655,0.231347116976395,NS
APOE,Dry_AMD,-0.242325436479359,0.50620765070098,0.632146676758694,0.820778843218889,0.199182140837704,NS
APOE,Wet_AMD,-0.447851306828194,0.594963766137728,0.451607904176714,0.671130205540596,0.345238465528535,NS
C1QA,AD,-0.0252370307497144,0.0269178101714668,0.348471174620757,0.906751226469838,0.45783314072494,NS
C1QA,Any_AMD,0.0526344833302066,0.0443764266564184,0.235586337128218,0.471752166207838,0.627849900140801,NS
C1QA,Dry_AMD,0.0608499106139571,0.0486533927944515,0.211050610132211,0.422101220264422,0.67561338799349,NS
C1QA,Wet_AMD,0.0724364524276287,0.0556868103946619,0.1933327662412,0.5799982987236,0.713694535046443,NS
C2,AD,-0.0703885084318335,0.0388677199620098,0.070144565219487,0.526084239146153,1.15400597234228,NS
C2,Any_AMD,0.0805074469093873,0.0976925885659359,0.40988864506916,0.58532606898932,0.387334112549835,NS
C2,Dry_AMD,0.0461487073329737,0.103802857656267,0.656623074575111,0.820778843218889,0.182683859674661,NS
C2,Wet_AMD,0.086724007589,0.0984942604028996,0.378589542563301,0.671130205540596,0.421831386330429,NS
C3,AD,0.0571925937215831,0.0697406583379104,0.412173162298864,0.906751226469838,0.384920289715858,NS
C3,Any_AMD,-0.00471879722826412,0.516565924474553,0.992711476091527,0.992711476091527,0.00317695749550672,NS
C3,Dry_AMD,-0.00605377110019187,0.519893735803433,0.990709445004675,0.995332145065729,0.00405369660787446,NS
C3,Wet_AMD,-0.10760854033684,0.582699406811747,0.853485938327772,0.882916487925282,0.068803629741939,NS
C5,AD,0.04733937842136,0.145018355053576,0.744093634443209,0.939910142796933,0.128372410739981,NS
C5,Any_AMD,0.169638282247365,0.0987891483981737,0.0859471532132964,0.26477718669801,1.0657685036684,NS
C5,Dry_AMD,0.193815675493567,0.104574224521602,0.0638280498886118,0.212760166295373,1.19498842418296,NS
C5,Wet_AMD,0.069759038398474,0.210524145807048,0.740373445335699,0.854277052310422,0.130549166298103,NS
CCL2,AD,0.0289748150670588,0.0300357445242719,0.33470623267855,0.906751226469838,0.475336200421729,NS
CCL2,Any_AMD,0.0624025301247146,0.0489482172377548,0.202355863621814,0.466975069896494,0.693884206633412,NS
CCL2,Dry_AMD,0.0730032537015387,0.0536808173847712,0.173845593045893,0.372526270812628,0.759836314127166,NS
CCL2,Wet_AMD,0.0572353491499439,0.0590576965577209,0.332473880212454,0.671130205540596,0.478242468030587,NS
CCL5,AD,0.0295848909873337,0.0482030236673993,0.539376631788216,0.939910142796933,0.268107873057896,NS
CCL5,Any_AMD,0.163302846145754,0.0642926405440461,0.0110854740724589,0.0831410555434417,1.9552457294642,Nominal P<0.05
CCL5,Dry_AMD,0.166380005311449,0.0760272098497872,0.0286385070730931,0.171831042438559,1.54304962556869,Nominal P<0.05
CCL5,Wet_AMD,0.143406766980195,0.0730352844905974,0.0495849482075996,0.365881167201345,1.304650136059,Nominal P<0.05
CD14,AD,-0.0468608986493092,0.0338858232751306,0.166693777878809,0.714401905194896,0.778080610629889,NS
CD14,Any_AMD,-0.0104117234182777,0.0482378545330914,0.829111418925351,0.921234909917057,0.0813871034991877,NS
CD14,Dry_AMD,-0.0362458840151917,0.0556948214959298,0.515179145199875,0.758393156984584,0.288041725826684,NS
CD14,Wet_AMD,0.0452867837079817,0.0648288322341262,0.48482748604272,0.671130205540596,0.314412766939323,NS
CD40,AD,0.0161970151756703,0.0342707449222848,0.636484816776569,0.939910142796933,0.196211951898467,NS
CD40,Any_AMD,0.0467850674819655,0.0469408973336896,0.318919716504207,0.503557447111906,0.496318630633846,NS
CD40,Dry_AMD,0.0850258747036386,0.0496065932122121,0.0865280819067183,0.216738553942765,1.06284292331098,NS
CD40,Wet_AMD,0.0138499442127239,0.0616478426735847,0.822242019242911,0.882916487925282,0.0850003331272606,NS
CFB,AD,0.0227592960366425,0.0281083968014727,0.418114108042954,0.906751226469838,0.378705178199802,NS
CFB,Any_AMD,-0.507929378442828,0.297966343730314,0.0882590622326701,0.26477718669801,1.05424069131598,NS
CFB,Dry_AMD,-0.497185661460626,0.311259372576027,0.110190930193227,0.25428676198437,0.957854150757709,NS
CFB,Wet_AMD,-0.590489022807098,0.314964288497306,0.0608228759978096,0.365881167201345,1.21593304817663,NS
CFD,AD,-0.017870796342679,0.059346933165085,0.763319806386348,0.939910142796933,0.117293468533249,NS
CFD,Any_AMD,0.309363068472719,0.161107839944189,0.0548296680725636,0.26477718669801,1.26098438323726,NS
CFD,Dry_AMD,0.34772731827715,0.121942000265211,0.00435025950565564,0.0406253854910292,2.36148483534129,FDR<0.05
CFD,Wet_AMD,0.232186725571274,0.258962935838974,0.369931249322407,0.671130205540596,0.431878980836384,NS
CFH,AD,-0.0189906545301154,0.0383732580850398,0.620675694140673,0.939910142796933,0.207135261392865,NS
CFH,Any_AMD,-0.864710310869407,0.228262709373417,0.00015172792434794,0.0022759188652191,3.81893448332549,FDR<0.05
CFH,Dry_AMD,-0.923474198691439,0.221852755870254,3.14706924966766e-05,0.000472060387450149,4.50209370055114,FDR<0.05
CFH,Wet_AMD,-0.8641748335507,0.278428464733341,0.00191078953861066,0.0286618430791599,2.71878714510278,FDR<0.05
CFI,AD,-0.0258938810711206,0.0841268510387019,0.758237811245904,0.939910142796933,0.120194562291538,NS
CFI,Any_AMD,-0.300922748253851,0.161573986334057,0.0625403168293441,0.26477718669801,1.20383992295098,NS
CFI,Dry_AMD,-0.378709243481792,0.188274586132179,0.044275521174324,0.210355745644426,1.35383631795718,Nominal P<0.05
CFI,Wet_AMD,-0.24862992488376,0.160471799149863,0.121293200279832,0.43160504869484,0.916163545083312,NS
CFP,AD,0.0247506714189972,0.032067602086094,0.44021633823352,0.906751226469838,0.356333843034405,NS
CFP,Any_AMD,-1.53805757809601,0.330068309999999,3.16492237022222e-06,9.49476711066666e-05,5.49963693796814,FDR<0.05
CFP,Dry_AMD,-1.60814006084212,0.34314857160685,2.78018570546325e-06,8.34055711638975e-05,5.55592619395088,FDR<0.05
CFP,Wet_AMD,-1.63399160836487,0.333816804514621,9.83681172278705e-07,2.95104351683612e-05,6.00714564095591,FDR<0.05
CSF1,AD,-0.074881031231096,0.0502024450494675,0.135808927908898,0.67904463954449,0.86707167914152,NS
