gene_symbol	Ensembl_gene_ID	chromosome	gene_start_grch37	gene_end_grch37	strand	cis_window_bp	source_url	verification_date	mapping_status
ACE	ENSG00000159640	17	61554422	61599205	1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/ACE?content-type=application/json	2026-07-11	verified_ensembl_grch37
BLNK	ENSG00000095585	10	97951458	98031344	-1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/BLNK?content-type=application/json	2026-07-11	verified_ensembl_grch37
BRD2	ENSG00000204256	6	32936437	32949282	1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/BRD2?content-type=application/json	2026-07-11	verified_ensembl_grch37
C1R	ENSG00000159403	12	7187513	7245203	-1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/C1R?content-type=application/json	2026-07-11	verified_ensembl_grch37
C1S	ENSG00000182326	12	7096351	7178336	1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/C1S?content-type=application/json	2026-07-11	verified_ensembl_grch37
CD226	ENSG00000150637	18	67498394	67629039	-1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/CD226?content-type=application/json	2026-07-11	verified_ensembl_grch37
CD2AP	ENSG00000198087	6	47445525	47594999	1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/CD2AP?content-type=application/json	2026-07-11	verified_ensembl_grch37
CD33	ENSG00000105383	19	51728320	51747115	1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/CD33?content-type=application/json	2026-07-11	verified_ensembl_grch37
CLN5	ENSG00000102805	13	77564795	77576652	1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/CLN5?content-type=application/json	2026-07-11	verified_ensembl_grch37
COL10A1	ENSG00000123500	6	116440086	116479910	-1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/COL10A1?content-type=application/json	2026-07-11	verified_ensembl_grch37
CR1	ENSG00000203710	1	207669492	207813992	1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/CR1?content-type=application/json	2026-07-11	verified_ensembl_grch37
CSF2	ENSG00000164400	5	131409483	131411859	1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/CSF2?content-type=application/json	2026-07-11	verified_ensembl_grch37
CTSH	ENSG00000103811	15	79213400	79241916	-1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/CTSH?content-type=application/json	2026-07-11	verified_ensembl_grch37
GRN	ENSG00000030582	17	42422614	42430470	1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/GRN?content-type=application/json	2026-07-11	verified_ensembl_grch37
IL20RB	ENSG00000174564	3	136665072	136729927	1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/IL20RB?content-type=application/json	2026-07-11	verified_ensembl_grch37
IL34	ENSG00000157368	16	70613798	70694585	1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/IL34?content-type=application/json	2026-07-11	verified_ensembl_grch37
LBP	ENSG00000129988	20	36974759	37005665	1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/LBP?content-type=application/json	2026-07-11	verified_ensembl_grch37
LILRB2	ENSG00000131042	19	54777675	54785039	-1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/LILRB2?content-type=application/json	2026-07-11	verified_ensembl_grch37
MME	ENSG00000196549	3	154741913	154901497	1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/MME?content-type=application/json	2026-07-11	verified_ensembl_grch37
PILRA	ENSG00000085514	7	99965153	99997719	1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/PILRA?content-type=application/json	2026-07-11	verified_ensembl_grch37
PILRB	ENSG00000121716	7	99933737	99965356	1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/PILRB?content-type=application/json	2026-07-11	verified_ensembl_grch37
PLOD2	ENSG00000152952	3	145787227	145881440	-1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/PLOD2?content-type=application/json	2026-07-11	verified_ensembl_grch37
PRSS8	ENSG00000052344	16	31142756	31147083	-1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/PRSS8?content-type=application/json	2026-07-11	verified_ensembl_grch37
SDF2	ENSG00000132581	17	26975374	26989207	-1	1000000	https://grch37.rest.ensembl.org/lookup/symbol/homo_sapiens/SDF2?content-type=application/json	2026-07-11	verified_ensembl_grch37
