GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
LOC100996442       1     132447     209392      2       1  337828      -2.1511      0.98426
SAMD11             1     824993     889961    232      31  337828       0.6311      0.26399
KLHL17             1     860967     911099    164      30  337828      0.71961      0.23588
PLEKHN1            1     866872     920488    165      29  337828      0.93685      0.17442
NOC2L              1     869583     929679    197      32  337828      0.90544      0.18262
PERM1              1     900579     952473    198      25  337828      0.43566      0.33154
ISG15              1     913847     959920    181      19  337828      0.23981      0.40524
AGRN               1     920503    1001499    258      22  337828    -0.090161      0.53592
HES4               1     924342     971608    158      17  337828     0.017956      0.49284
RNF223             1     997126    1044687    133      17  337828       1.1162      0.13217
C1orf159           1    1007198    1086736    275      23  337828      0.63556      0.26253
TTLL10             1    1074286    1143315    307      34  337828      0.73701      0.23056
TNFRSF18           1    1128888    1177163    220      16  337828       0.1404      0.44417
B3GALT6            1    1132629    1180421    214      16  337828     0.064585      0.47425
TNFRSF4            1    1136706    1184703    209      15  337828       0.1696      0.43266
SDF4               1    1142288    1202447    250      19  337828      0.20942      0.41706
FAM132A            1    1167826    1217102    166      21  337828      0.61964      0.26775
UBE2J2             1    1179292    1244234    208      29  337828      0.36759      0.35659
SCNN1D             1    1180816    1237409    178      26  337828      0.44826      0.32698
PUSL1              1    1208962    1257057    145      25  337828      -0.1783      0.57076
ACAP3              1    1217764    1278304    172      27  337828      0.49682      0.30966
CPTP               1    1225136    1274276    138      21  337828      0.50144      0.30803
TAS1R3             1    1231726    1279844    127      19  337828      0.68349      0.24715
CPSF3L             1    1236965    1295067    151      17  337828      0.54201      0.29391
DVL1               1    1260658    1319509    232      20  337828      0.27518      0.39159
MXRA8              1    1278071    1332183    196      17  337828       0.1085       0.4568
AURKAIP1           1    1299110    1345818    177      17  337828      0.26622      0.39503
CCNL2              1    1311091    1369718    190      17  337828      0.21244      0.41588
TMEM88B            1    1326508    1373167    140      16  337828      0.30659      0.37958
MRPL20             1    1327276    1377693    156      18  337828      0.28637       0.3873
VWA1               1    1335903    1388262    169      20  337828      0.39555      0.34622
ATAD3C             1    1343152    1415538    227      28  337828      0.54615      0.29248
ANKRD65            1    1343800    1391824    163      19  337828      0.53911      0.29491
ATAD3B             1    1372139    1454852    274      20  337828      0.77171      0.22014
ATAD3A             1    1412523    1480067    257      21  337828      0.81544      0.20741
TMEM240            1    1460158    1510740    174      23  337828       1.5429     0.061423
SSU72              1    1467053    1545262    274      28  337828      0.85992      0.19492
MIB2               1    1515795    1575990    160      22  337828      -1.3471      0.91103
C1orf233           1    1523388    1570476    121      16  337828      -1.4739      0.92974
MMP23B             1    1532060    1580030     96      15  337828      -1.4884      0.93167
CDK11B             1    1561100    1625473    114      21  337828      0.60713      0.27188
SLC35E2B           1    1581486    1659243    176      22  337828      0.88877      0.18706
CDK11A             1    1623822    1690999    165      14  337828      0.30083      0.38177
SLC35E2            1    1646277    1712438    178      17  337828    -0.039372       0.5157
NADK               1    1672671    1746508    134      16  337828     -0.25996      0.60255
GNB1               1    1706725    1857552    269      20  337828     0.038695      0.48457
CALML6             1    1811266    1858733    113      14  337828      0.44526      0.32807
TMEM52             1    1839029    1885740    155      14  337828      0.63949      0.26125
CFAP74             1    1843390    1970276    460      41  337828     -0.22648      0.58958
GABRD              1    1915768    1972192    194      29  337828     0.013524       0.4946
PRKCZ              1    1946909    2126834    508      37  337828      -1.5993      0.94512
LOC100506504       1    2103250    2150812     95      19  337828     -0.55649      0.71106
C1orf86            1    2105899    2179159    163      29  337828       1.0327      0.15087
SKI                1    2125134    2251652    347      49  337828      0.89566      0.18522
MORN1              1    2241719    2358190    456      62  337828     0.067387      0.47314
RER1               1    2288214    2346883    189      38  337828       1.0412       0.1489
PEX10              1    2326241    2379010    193      47  337828    -0.052879      0.52109
PLCH2              1    2372754    2446964    269      36  337828       1.0677      0.14283
PANK4              1    2429975    2493061    152      20  337828       0.5355      0.29615
HES5               1    2450184    2496684    104      16  337828      0.61491      0.26931
TNFRSF14           1    2452291    2505268    126      15  337828      0.80529      0.21033
FAM213B            1    2482899    2532908    149      13  337828       1.6572     0.048744
MMEL1              1    2512078    2599499    220      15  337828        1.713     0.043352
TTC34              1    2562807    2741230    210      19  337828       2.6363    0.0041914
ACTRT2             1    2903046    2949467    164       7  337828       -1.898      0.97115
PRDM16             1    2950565    3365185   1556     166  337828      -0.3944      0.65336
ARHGEF16           1    3336147    3407677    264      30  337828     -0.11769      0.54684
MEGF6              1    3394506    3563059    660      91  337828     -0.85972      0.80503
TPRG1L             1    3506556    3556695    216      36  337828    0.0080006      0.49681
TP73               1    3534129    3662765    439      70  337828      0.68198      0.24763
WRAP73             1    3537331    3601671    207      42  337828      0.92925      0.17638
CCDC27             1    3633965    3698209    249      40  337828      0.37552      0.35364
SMIM1              1    3654352    3702546    203      30  337828     0.098601      0.46073
LRRC47             1    3686784    3748068    337      21  337828      0.26073      0.39715
CEP104             1    3718645    3808797    548      30  337828      0.58612       0.2789
DFFB               1    3738845    3811993    450      36  337828      0.82026      0.20604
C1orf174           1    3795697    3851857    208      29  337828      0.82674      0.20419
AJAP1              1    4680105    4853851    828      93  337828       2.7247     0.003218
NPHP4              1    5912870    6087618    530      26  337828     -0.18774      0.57446
KCNAB2             1    6017358    6171253    459      58  337828      0.14027      0.44422
CHD5               1    6151847    6275194    387      42  337828      -0.5294      0.70174
RNF207             1    6231189    6291359    144      22  337828      -1.6834      0.95385
RPL22              1    6235080    6294679    134      22  337828      -1.5025      0.93351
HES3               1    6269252    6315638     94      15  337828      -2.7412      0.99694
ICMT               1    6271253    6331044    135      19  337828       -2.479      0.99341
GPR153             1    6297406    6356035    143      23  337828      -1.1496      0.87484
ACOT7              1    6314332    6488826    568      27  337828      0.46872      0.31963
ESPN               1    6449836    6531004    264      18  337828        1.482     0.069171
