locus,CHR,START,STOP,phen1,phen2,rho,rho.lower,rho.upper,r2,r2.lower,r2.upper,p
2351,19,45040933,45893307,AD,Any_AMD,-0.341655,-0.4249,-0.26055,0.116728,0.06788,0.18054,2.43148e-15
2415,20,51533751,52411532,AD,Any_AMD,-0.533474,-0.7919,-0.31156,0.284594,0.09707,0.62711,8.75957e-06
2031,14,105091341,106347143,AD,Any_AMD,1,0.38814,1,1,0.15065,1,1.32448e-05
1037,6,106053916,107309327,AD,Any_AMD,-0.898222,-1,-0.51396,0.806802,0.26416,1,2.4869e-05
2405,20,41351515,42185671,AD,Any_AMD,0.804185,0.44607,1,0.646714,0.19898,1,4.77202e-05
1358,8,133461552,134509448,AD,Any_AMD,-0.775798,-1,-0.3879,0.601863,0.15047,1,0.000130178
1608,10,133818037,134856054,AD,Any_AMD,-0.626126,-1,-0.31964,0.392034,0.10217,1,0.000136085
1834,12,104140832,105079100,AD,Any_AMD,1,0.37654,1,1,0.14179,1,0.000207115
1916,13,76671494,77460044,AD,Any_AMD,-0.990799,-1,-0.45398,0.981683,0.20609,1,0.000239028
1577,10,99367801,100337830,AD,Any_AMD,0.515807,0.25358,0.83806,0.266057,0.0643,0.70234,0.000246226
967,6,32682214,32897998,AD,Any_AMD,-0.510311,-0.78923,-0.2611,0.260417,0.06817,0.62288,0.000258363
2337,19,30375793,31763008,AD,Any_AMD,0.597171,0.29327,1,0.356613,0.08601,1,0.00026297
1977,14,44623274,45817082,AD,Any_AMD,0.967719,0.44017,1,0.93648,0.19375,1,0.000289018
1801,12,66114644,67183620,AD,Any_AMD,0.534425,0.25336,0.97445,0.28561,0.06419,0.94955,0.000339591
2075,15,73375719,74458113,AD,Any_AMD,-0.636843,-1,-0.29462,0.405569,0.0868,1,0.000504529
1022,6,89974268,91097024,AD,Any_AMD,-0.838994,-1,-0.36606,0.703911,0.134,1,0.000617298
833,5,67096192,68006993,AD,Any_AMD,0.522075,0.22719,0.94006,0.272562,0.05161,0.88371,0.000618292
2195,17,25872111,27344401,AD,Any_AMD,0.479436,0.20236,0.80715,0.229859,0.04095,0.65149,0.000969244
2447,21,32202240,33270272,AD,Any_AMD,0.499167,0.20277,0.83839,0.249168,0.04111,0.7029,0.00115426
1401,9,24757730,25957606,AD,Any_AMD,0.507894,0.20971,0.99422,0.257957,0.04403,0.98847,0.00125696
272,2,65938003,67224027,AD,Any_AMD,0.647072,0.26482,1,0.418702,0.07013,1,0.00127975
1538,10,55867695,57044845,AD,Any_AMD,0.658669,0.28529,1,0.433845,0.08139,1,0.00131034
2471,22,26166935,27192923,AD,Any_AMD,0.542274,0.21614,0.98934,0.294061,0.04672,0.9788,0.00140222
2209,17,45883902,47516224,AD,Any_AMD,-0.937011,-1,-0.38987,0.87799,0.15222,1,0.00148087
2225,17,68176220,69245590,AD,Any_AMD,0.818281,0.31735,1,0.669584,0.10071,1,0.00167709
