"record_id"	"protein_name"	"gene_symbol"	"UniProt_ID"	"assay_target_name"	"assay_target_ID"	"proteomic_platform"	"protein_form_or_isoform"	"disease"	"disease_subtype"	"outcome_definition"	"source_study_first_author"	"publication_year"	"journal"	"PMID"	"DOI"	"publication_status"	"pQTL_source"	"pQTL_sample_size"	"ancestry"	"cis_trans_status"	"instrument_definition"	"instrument_SNPs"	"MR_method"	"beta_or_logOR"	"SE"	"OR"	"CI_lower"	"CI_upper"	"P_value"	"multiple_testing_method"	"corrected_significance"	"colocalization_method"	"PP_H4"	"SMR_P"	"HEIDI_P"	"replication_dataset"	"replication_status"	"effect_direction"	"outcome_GWAS"	"overlap_with_primary_outcome_GWAS"	"same_outcome_reanalysis"	"evidence_tier"	"high_complexity_locus"	"assay_cross_reactivity_risk"	"inclusion_status"	"exclusion_reason"	"APOE_rs429358_alpha_available"	"APOE_rs7412_alpha_available"	"alpha_source"	"eligible_for_two_step_MR"	"manual_verification_status"	"notes"	"source_table_file"	"source_sheet"	"source_row"	"beta_source_type"	"mapping_confidence"	"evidence_independence"	"duplicate_group"	"allele_harmonization_status"	"derived_field_notes"
"EVID_41630303_A4GALT_39495cb0333f"	"A4GALT"	"A4GALT"	"not_reported"	"A4GALT"	"8759_29_A4GALT_a1_4_Galactosyltransferase"	"deCODE SomaScan"	"assay_specific_target"	"AD"	"AD"	"FinnGen AD"	"Zhao YH"	"2026"	"Medicine"	"41630303"	"10.1097/md.0000000000045715"	"peer_reviewed"	"deCODE"	"35559"	"European"	"mixed_or_not_explicitly_cis_only"	"P<5e-8; LD clumped instruments"	"14 SNPs; IDs in Table S2"	"IVW"	"-0.138429177"	"0.04857932"	"0.870724916"	"0.791643081"	"0.957706697"	"0.004378119"	"study-reported FDR<0.05"	"true"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"higher_protein_lower_risk"	"FinnGen AD"	"different_outcome_GWAS_from_primary_analysis"	"false"	"Tier2"	"false"	"SomaScan assay review required"	"literature_source_universe_tier2"	"not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only."	"data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx"	"Table S3"	"32"	"published_beta"	"moderate"	"partially_overlapping"	"AD_deCODE_FinnGen_2026"	"not_applicable_to_published_beta"	"none"
"EVID_40050982_ACAA1_6bcc856a08dc"	"ACAA1"	"ACAA1"	"P09110"	"ACAA1"	"P09110"	"UKB-PPP Olink"	"UniProt-mapped protein"	"AD"	"AD"	"Bellenguez et al. 2022 AD discovery; FinnGen R11 replication"	"Zhan H"	"2025"	"Journal of translational medicine"	"40050982"	"10.1186/s12967-025-06317-5"	"peer_reviewed"	"UKB-PPP cis-pQTL"	"34557 European participants"	"European"	"cis_pQTL"	"cis-pQTL; discovery MR with Bellenguez AD; FinnGen R11 outcome replication"	"rs156265;rs76649293"	"Inverse variance weighted"	"0.26236426446749106"	"not_reported_directly"	"1.3"	"1.14"	"1.5"	"0.0001679949614003"	"Benjamini-Hochberg FDR in discovery; P<0.00208 replication threshold"	"true"	"coloc.abf in discovery and replication"	"NA"	"not_reported"	"not_reported"	"FinnGen R11 AD"	"replication_not_corrected_or_direction_inconsistent"	"higher_protein_higher_risk"	"Bellenguez 2022 discovery; FinnGen R11 replication"	"Bellenguez_partially_overlaps_Wightman_components; FinnGen_independent_of_primary_AD_outcome_GWAS"	"partially_overlapping_discovery_with_independent_outcome_replication"	"Tier2"	"false"	"Olink assay review required"	"literature_source_universe_tier2"	"no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Replication P=0.920186130950414; replication PP.H4=NA."	"data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx"	"Table S2"	"49"	"published_beta"	"high"	"partially_overlapping"	"AD_UKB_PPP_Bellenguez_FinnGen"	"not_applicable_to_published_beta"	"logOR derived from rounded reported OR; not eligible for mediation beta"
"EVID_41350740_ACADVL_3f5c6b8efc5a"	"ACADV"	"ACADVL"	"not_reported"	"ACADV"	"deCODE protein label requires cross-platform mapping"	"deCODE SomaScan"	"not_reported"	"AD"	"AD"	"European AD meta-analysis; AD GWAS 1"	"Liu X"	"2025"	"Alzheimer's research & therapy"	"41350740"	"10.1186/s13195-025-01901-9"	"peer_reviewed"	"deCODE"	"35559"	"European"	"cis_pQTL"	"cis-pQTL within +/-1 Mb; P<5e-8; MHC excluded; r2<0.001"	"reported in Table S3"	"Wald ratio"	"0.902"	"0.2"	"2.46452724"	"1.665291195"	"3.647346803"	"6.48e-06"	"Benjamini-Hochberg FDR"	"true"	"Bayesian coloc within +/-1 Mb"	"0.502"	"reported in Table S24"	"0.2678378"	"IGAP; FinnGen; ARIC; INTERVAL as available"	"single_external_replication_reported"	"higher_protein_higher_risk"	"AD GWAS 1 (398058 participants)"	"partially_overlaps_or_reuses_components_of_Wightman_2021"	"possible"	"Tier2"	"false"	"SomaScan assay mapping review required"	"literature_source_universe_tier2"	"mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Source-paper tier was not copied automatically; raw FDR, colocalization and replication fields drive study-specific evidence tiering."	"data_raw\literature_fulltext\PMID41350740_PMC12681122\supplements\13195_2025_1901_MOESM1_ESM.xlsx"	"Table S6"	"10"	"published_beta"	"moderate"	"partially_overlapping"	"AD_deCODE_multiomics_2025"	"not_applicable_to_published_beta"	"none"
"PMID34381170_Table_S14_ACE"	"ACE"	"ACE"	"not_reported"	"ACE"	"not_reported"	"AGES blood proteome"	"assay_specific_target"	"AD"	"AD"	"AD_GWAS_1"	"Ou YN"	"2021"	"Molecular Psychiatry"	"34381170"	"10.1038/s41380-021-01251-6"	"peer_reviewed"	"AGES blood proteome"	"not_reported"	"European"	"single_instrument_as_reported"	"reported Wald-ratio instrument"	"not_reported"	"Wald ratio"	"0.077420371"	"0.016257526"	"not_reported"	"not_reported"	"not_reported"	"1.92e-06"	"study-wide threshold"	"TRUE"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"higher_protein_higher_risk"	"AD_GWAS_1"	"possible"	"false"	"Tier2"	"FALSE"	"cross_platform_mapping_required"	"literature_source_universe_tier2"	"single_instrument_published_beta;same_assay_APOE_alpha_unavailable"	"false"	"false"	"not_reported"	"false"	"full_text_and_source_table_verified"	"Circulating blood-protein row retained separately from brain-protein evidence."	"PMID34381170_supplement.xlsx"	"Table S14"	"517"	"published_beta"	"moderate"	"partially_overlapping"	"AD_AGES_blood_2021"	"not_applicable_to_published_beta"	"not_reported"
"PMID34381170_Table_S15_ACE"	"ACE"	"ACE"	"not_reported"	"ACE"	"not_reported"	"AGES blood proteome"	"assay_specific_target"	"AD"	"AD"	"AD_GWAS_2"	"Ou YN"	"2021"	"Molecular Psychiatry"	"34381170"	"10.1038/s41380-021-01251-6"	"peer_reviewed"	"AGES blood proteome"	"not_reported"	"European"	"single_instrument_as_reported"	"reported Wald-ratio instrument"	"not_reported"	"Wald ratio"	"0.01713024"	"0.003720527"	"not_reported"	"not_reported"	"not_reported"	"4.14e-06"	"study-wide threshold"	"TRUE"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"higher_protein_higher_risk"	"AD_GWAS_2"	"possible"	"false"	"Tier2"	"FALSE"	"cross_platform_mapping_required"	"literature_source_universe_tier2"	"single_instrument_published_beta;same_assay_APOE_alpha_unavailable"	"false"	"false"	"not_reported"	"false"	"full_text_and_source_table_verified"	"Circulating blood-protein row retained separately from brain-protein evidence."	"PMID34381170_supplement.xlsx"	"Table S15"	"325"	"published_beta"	"moderate"	"partially_overlapping"	"AD_AGES_blood_2021"	"not_applicable_to_published_beta"	"not_reported"
"EVID_40037332_ACE_b365f67c8233"	"ACE"	"ACE"	"P12821"	"ACE"	"10714_7"	"SomaScan"	"assay_specific_target"	"AD"	"AD"	"clinically diagnosed Alzheimer disease GWAS"	"Belbasis L"	"2025"	"Brain : a journal of neurology"	"40037332"	"10.1093/brain/awaf018"	"peer_reviewed"	"SomaScan"	"UKB-PPP 54219 or deCODE 35559 according to platform"	"European"	"cis_lead_pQTL"	"lead cis-pQTL per assay"	"rs4353"	"Wald ratio using lead cis-pQTL"	"-0.0882400387159219"	"0.013227939990321"	"0.9155410850386977"	"0.8921091386883845"	"0.9395884898412931"	"2.5453116395246e-11"	"Benjamini-Hochberg FDR"	"true"	"coloc.abf single-causal-variant"	"0.00353700699289929"	"not_reported"	"not_reported"	"cross-platform comparison reported"	"partially_overlapping_cross_platform"	"higher_protein_lower_risk"	"AD GWAS reported in Table S1"	"likely_overlap_with_Wightman_2021_components"	"possible"	"Tier2"	"false"	"assay_specific_review_required"	"literature_source_universe_tier2"	"no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"FDR-significant AD row; colocalization joined by assay ID."	"data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx"	"Table S2"	"1901"	"published_beta"	"high"	"partially_overlapping"	"AD_UKB_deCODE_cross_platform"	"not_applicable_to_published_beta"	"OR and CI derived from reported beta and SE"
"EVID_40037332_ACE_7ba67f826bbd"	"ACE"	"ACE"	"P12821"	"ACE"	"OID30696"	"Olink"	"assay_specific_target"	"AD"	"AD"	"clinically diagnosed Alzheimer disease GWAS"	"Belbasis L"	"2025"	"Brain : a journal of neurology"	"40037332"	"10.1093/brain/awaf018"	"peer_reviewed"	"Olink"	"UKB-PPP 54219 or deCODE 35559 according to platform"	"European"	"cis_lead_pQTL"	"lead cis-pQTL per assay"	"rs4362"	"Wald ratio using lead cis-pQTL"	"-0.119156798296994"	"0.0182974858808119"	"0.887668604923853"	"0.8563981601492333"	"0.920080855883848"	"7.40604267950184e-11"	"Benjamini-Hochberg FDR"	"true"	"coloc.abf single-causal-variant"	"0.00124959979916101"	"not_reported"	"not_reported"	"cross-platform comparison reported"	"partially_overlapping_cross_platform"	"higher_protein_lower_risk"	"AD GWAS reported in Table S1"	"likely_overlap_with_Wightman_2021_components"	"possible"	"Tier2"	"false"	"assay_specific_review_required"	"literature_source_universe_tier2"	"no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"FDR-significant AD row; colocalization joined by assay ID."	"data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx"	"Table S2"	"16"	"published_beta"	"high"	"partially_overlapping"	"AD_UKB_deCODE_cross_platform"	"not_applicable_to_published_beta"	"OR and CI derived from reported beta and SE"
"EVID_40050982_ACE_db05f9e8d8a1"	"ACE"	"ACE"	"P12821"	"ACE"	"P12821"	"UKB-PPP Olink"	"UniProt-mapped protein"	"AD"	"AD"	"Bellenguez et al. 2022 AD discovery; FinnGen R11 replication"	"Zhan H"	"2025"	"Journal of translational medicine"	"40050982"	"10.1186/s12967-025-06317-5"	"peer_reviewed"	"UKB-PPP cis-pQTL"	"34557 European participants"	"European"	"cis_pQTL"	"cis-pQTL; discovery MR with Bellenguez AD; FinnGen R11 outcome replication"	"rs145898451;rs6504163;rs67817520;rs75168245;rs9890187"	"Inverse variance weighted"	"-0.16251892949777494"	"not_reported_directly"	"0.85"	"0.79"	"0.92"	"4.09276140278645e-05"	"Benjamini-Hochberg FDR in discovery; P<0.00208 replication threshold"	"true"	"coloc.abf in discovery and replication"	"NA"	"not_reported"	"not_reported"	"FinnGen R11 AD"	"replication_not_corrected_or_direction_inconsistent"	"higher_protein_lower_risk"	"Bellenguez 2022 discovery; FinnGen R11 replication"	"Bellenguez_partially_overlaps_Wightman_components; FinnGen_independent_of_primary_AD_outcome_GWAS"	"partially_overlapping_discovery_with_independent_outcome_replication"	"Tier2"	"false"	"Olink assay review required"	"literature_source_universe_tier2"	"no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Replication P=NA; replication PP.H4=NA."	"data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx"	"Table S2"	"40"	"published_beta"	"high"	"partially_overlapping"	"AD_UKB_PPP_Bellenguez_FinnGen"	"not_applicable_to_published_beta"	"logOR derived from rounded reported OR; not eligible for mediation beta"
"PMID40452368_UKB-PPP_ACE"	"ACE"	"ACE"	"not_reported"	"ACE"	"not_reported"	"UKB-PPP Olink"	"assay_specific_target"	"AD"	"AD"	"AD GWAS"	"Yu K"	"2025"	"Journal of Alzheimer's Disease"	"40452368"	"10.1177/13872877251344572"	"peer_reviewed"	"UKB-PPP"	"not_reported"	"European"	"mixed_or_not_explicitly_cis_only"	"not_reported"	"not_reported"	"study-reported MR"	"-0.183069836685536"	"not_reported"	"0.83271"	"0.8"	"0.87"	"8.98e-15"	"study Bonferroni threshold"	"TRUE"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"higher_protein_lower_risk"	"published AD GWAS"	"partially_overlapping_or_related"	"false"	"Tier2"	"FALSE"	"platform_mapping_required"	"literature_source_universe_tier2"	"published_cross_platform_beta_not_same_assay_primary_analysis_beta;highest_tier_requires_colocalization_or_replication_review"	"false"	"false"	"not_reported"	"false"	"full_text_and_source_table_verified"	"Study-Bonferroni-significant protein-outcome association; same dataset reports GRN/CR1 colocalization support."	"PMID40452368_supp5.xlsx"	"Supplemental Table 3"	"13"	"published_beta"	"moderate"	"partially_overlapping"	"AD_UKB-PPP_2025"	"not_applicable_to_published_beta"	"not_reported"
"EVID_41350740_ACE_d7064f8aec41"	"ACE"	"ACE"	"not_reported"	"ACE"	"deCODE protein label requires cross-platform mapping"	"deCODE SomaScan"	"not_reported"	"AD"	"AD"	"European AD meta-analysis; AD GWAS 1"	"Liu X"	"2025"	"Alzheimer's research & therapy"	"41350740"	"10.1186/s13195-025-01901-9"	"peer_reviewed"	"deCODE"	"35559"	"European"	"cis_pQTL"	"cis-pQTL within +/-1 Mb; P<5e-8; MHC excluded; r2<0.001"	"reported in Table S3"	"Wald ratio"	"-0.073064516"	"0.016290323"	"0.929540858"	"0.900330331"	"0.959699097"	"7.29e-06"	"Benjamini-Hochberg FDR"	"true"	"Bayesian coloc within +/-1 Mb"	"0.977"	"reported in Table S24"	"0.6736026"	"IGAP; FinnGen; ARIC; INTERVAL as available"	"independent_external_replication_reported"	"higher_protein_lower_risk"	"AD GWAS 1 (398058 participants)"	"partially_overlaps_or_reuses_components_of_Wightman_2021"	"possible"	"Tier1"	"false"	"SomaScan assay mapping review required"	"primary_high_confidence_panel"	"NA"	"true"	"true"	"<external_resource_root>\UKB-PPP\syn51365303_European_discovery\ACE_P12821_OID30696_v1_Inflammation_II.tar"	"true"	"full_text_and_source_table_verified"	"Source-paper tier was not copied automatically; raw FDR, colocalization and replication fields drive study-specific evidence tiering."	"data_raw\literature_fulltext\PMID41350740_PMC12681122\supplements\13195_2025_1901_MOESM1_ESM.xlsx"	"Table S6"	"11"	"published_beta"	"high"	"partially_overlapping"	"AD_deCODE_multiomics_2025"	"not_applicable_to_published_beta"	"none"
