GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
LOC100996442       1     132447     209392      2       1  342729      0.29965      0.38222
SAMD11             1     824993     889961    232      31  342729       0.6502      0.25778
KLHL17             1     860967     911099    164      30  342729       1.3969     0.081219
PLEKHN1            1     866872     920488    165      29  342729       1.4824     0.069123
NOC2L              1     869583     929679    197      32  342729        1.232      0.10897
PERM1              1     900579     952473    198      25  342729      0.75812      0.22419
ISG15              1     913847     959920    181      19  342729      0.51855      0.30204
AGRN               1     920503    1001499    258      22  342729      0.67892      0.24859
HES4               1     924342     971608    158      17  342729      0.60716      0.27187
RNF223             1     997126    1044687    133      17  342729        1.584     0.056597
C1orf159           1    1007198    1086736    275      23  342729       1.0342      0.15052
TTLL10             1    1074286    1143315    307      34  342729    -0.027281      0.51088
TNFRSF18           1    1128888    1177163    220      16  342729    -0.012073      0.50482
B3GALT6            1    1132629    1180421    214      16  342729     0.021745      0.49133
TNFRSF4            1    1136706    1184703    209      15  342729     0.071411      0.47154
SDF4               1    1142288    1202447    250      19  342729      0.24233      0.40426
FAM132A            1    1167826    1217102    166      21  342729      0.92551      0.17735
UBE2J2             1    1179292    1244234    208      29  342729      0.55892      0.28811
SCNN1D             1    1180816    1237409    178      26  342729      0.61474      0.26936
PUSL1              1    1208962    1257057    145      25  342729    0.0089318      0.49644
ACAP3              1    1217764    1278304    172      27  342729      0.81023       0.2089
CPTP               1    1225136    1274276    138      21  342729      0.76965      0.22075
TAS1R3             1    1231726    1279844    127      19  342729      0.99749      0.15926
CPSF3L             1    1236965    1295067    151      17  342729      0.85049      0.19753
DVL1               1    1260658    1319509    232      20  342729      0.67371      0.25025
MXRA8              1    1278071    1332183    196      17  342729      0.51285      0.30403
AURKAIP1           1    1299110    1345818    177      17  342729      0.83042      0.20315
CCNL2              1    1311091    1369718    190      17  342729      0.58018       0.2809
TMEM88B            1    1326508    1373167    140      16  342729      0.60569      0.27236
MRPL20             1    1327276    1377693    156      18  342729       0.4329      0.33254
VWA1               1    1335903    1388262    169      20  342729     -0.10547        0.542
ATAD3C             1    1343152    1415538    227      28  342729     -0.46794      0.68009
ANKRD65            1    1343800    1391824    163      19  342729     -0.60752      0.72825
ATAD3B             1    1372139    1454852    274      20  342729     -0.49433      0.68946
ATAD3A             1    1412523    1480067    257      21  342729     -0.19949      0.57906
TMEM240            1    1460158    1510740    174      23  342729      0.61286      0.26998
SSU72              1    1467053    1545262    274      28  342729       0.3801      0.35194
MIB2               1    1515795    1575990    160      22  342729      0.41887      0.33766
C1orf233           1    1523388    1570476    121      16  342729      0.42335      0.33602
MMP23B             1    1532060    1580030     96      15  342729      0.15089      0.44003
CDK11B             1    1561100    1625473    114      21  342729      0.34712      0.36425
SLC35E2B           1    1581486    1659243    176      22  342729     0.023722      0.49054
CDK11A             1    1623822    1690999    165      14  342729     -0.45005      0.67366
SLC35E2            1    1646277    1712438    178      17  342729     -0.29501      0.61601
NADK               1    1672671    1746508    134      16  342729      0.15642      0.43785
GNB1               1    1706725    1857552    269      20  342729      0.66182      0.25404
CALML6             1    1811266    1858733    113      14  342729      0.91955       0.1789
TMEM52             1    1839029    1885740    155      14  342729       1.0382       0.1496
CFAP74             1    1843390    1970276    460      41  342729      0.26015      0.39738
GABRD              1    1915768    1972192    194      29  342729     -0.12528      0.54985
PRKCZ              1    1946909    2126834    508      37  342729     -0.60798       0.7284
LOC100506504       1    2103250    2150812     95      19  342729      -1.7705      0.96168
C1orf86            1    2105899    2179159    163      29  342729      0.03922      0.48436
SKI                1    2125134    2251652    347      49  342729      0.34734      0.36417
MORN1              1    2241719    2358190    456      62  342729       1.3053     0.095901
RER1               1    2288214    2346883    189      38  342729       1.5972     0.055112
PEX10              1    2326241    2379010    193      47  342729      0.84416      0.19929
PLCH2              1    2372754    2446964    269      36  342729     -0.33018      0.62937
PANK4              1    2429975    2493061    152      20  342729     -0.52996      0.70193
HES5               1    2450184    2496684    104      16  342729     -0.82783      0.79612
TNFRSF14           1    2452291    2505268    126      15  342729     -0.35218      0.63765
FAM213B            1    2482899    2532908    149      13  342729        1.101      0.13545
MMEL1              1    2512078    2599499    220      15  342729       1.2454      0.10649
TTC34              1    2562807    2741230    210      19  342729       2.1778     0.014711
ACTRT2             1    2903046    2949467    164       7  342729     0.018656      0.49256
PRDM16             1    2950565    3365185   1556     166  342729       1.4904     0.068062
ARHGEF16           1    3336147    3407677    264      30  342729      0.58093      0.28064
MEGF6              1    3394506    3563059    660      91  342729     -0.62714      0.73472
TPRG1L             1    3506556    3556695    216      36  342729    -0.063936      0.52549
TP73               1    3534129    3662765    439      70  342729      0.64194      0.26046
WRAP73             1    3537331    3601671    207      42  342729     0.039006      0.48444
CCDC27             1    3633965    3698209    249      40  342729       1.2627      0.10335
SMIM1              1    3654352    3702546    203      30  342729       1.6888     0.045629
LRRC47             1    3686784    3748068    337      21  342729       1.6812     0.046362
CEP104             1    3718645    3808797    548      30  342729       1.2986     0.097035
DFFB               1    3738845    3811993    450      36  342729       1.3776     0.084159
C1orf174           1    3795697    3851857    208      29  342729      0.49045      0.31191
AJAP1              1    4680105    4853851    828      93  342729       1.6192     0.052706
NPHP4              1    5912870    6087618    530      26  342729      0.72022       0.2357
KCNAB2             1    6017358    6171253    459      58  342729      0.79037      0.21466
CHD5               1    6151847    6275194    387      42  342729      0.97955      0.16366
RNF207             1    6231189    6291359    144      22  342729      0.55173      0.29057
RPL22              1    6235080    6294679    134      22  342729       0.3184      0.37509
HES3               1    6269252    6315638     94      15  342729     -0.47795      0.68366
ICMT               1    6271253    6331044    135      19  342729     -0.76352      0.77742
GPR153             1    6297406    6356035    143      23  342729     -0.53157      0.70249
ACOT7              1    6314332    6488826    568      27  342729      0.97421      0.16497
ESPN               1    6449836    6531004    264      18  342729       1.6931     0.045214
HES2               1    6465292    6519724    172      16  342729       1.8733     0.030515
TNFRSF25           1    6510787    6562432    116      19  342729        1.317     0.093914
PLEKHG5            1    6516152    6615121    295      27  342729       1.1951      0.11602
NOL9               1    6571407    6649658    226      11  342729       1.0525      0.14628
TAS1R1             1    6579987    6649817    196      10  342729       1.0865      0.13864
ZBTB48             1    6605051    6659340    142      16  342729       1.3665     0.085889
PHF13              1    6638756    6694093    103      16  342729        1.455     0.072836
KLHL21             1    6640784    6697958    113      16  342729       1.5217      0.06404
THAP3              1    6649925    6705646    115      16  342729       1.5895      0.05597
DNAJC11            1    6684228    6796966    251      21  342729        1.066      0.14322
CAMTA1             1    6810384    7839766   2956     199  342729      0.46042      0.32261
VAMP3              1    7796329    7851492    151      25  342729       -1.254      0.89509
PER3               1    7809413    7915241    354      29  342729     -0.69105      0.75523
UTS2               1    7897672    7948551    223      28  342729      -0.2169      0.58585
TNFRSF9            1    7965931    8038225    152      21  342729       1.5946     0.055401
PARK7              1    7986714    8055342    133      17  342729       1.6231     0.052287
ERRFI1             1    8061779    8121393     79       8  342729       1.0496      0.14696
SLC45A1            1    8343171    8414227    205      27  342729       0.8476      0.19833
RERE               1    8402464    8912699    773      28  342729     -0.72438      0.76558
ENO1               1    8911059    8974151    140      19  342729     -0.57133      0.71611
CA6                1    8970893    9045151    304      50  342729     -0.57782      0.71831
SLC2A7             1    9053359    9121404    216      36  342729       2.7294    0.0031727
SLC2A5             1    9087005    9166763    283      24  342729        1.892     0.029247
