locus,CHR,START,STOP,phen1,phen2,rho,rho.lower,rho.upper,r2,r2.lower,r2.upper,p
90,1,103148413,103784541,Wet_AMD,AD,,,,,,,
95,1,107874654,109271449,Wet_AMD,AD,,,,,,,
117,1,159882516,161054076,Wet_AMD,AD,,,,,,,
187,1,237409459,238094455,Wet_AMD,AD,,,,,,,
231,2,28819511,29627932,Wet_AMD,AD,,,,,,,
239,2,35609258,36120743,Wet_AMD,AD,,,,,,,
287,2,80737812,81623357,Wet_AMD,AD,,,,,,,
309,2,116415817,117822516,Wet_AMD,AD,,,,,,,
323,2,131760639,132598285,Wet_AMD,AD,,,,,,,
333,2,142494981,143259780,Wet_AMD,AD,,,,,,,
342,2,155207970,156130947,Wet_AMD,AD,,,,,,,
487,3,75374968,76157470,Wet_AMD,AD,,,,,,,
498,3,87411259,88375763,Wet_AMD,AD,,,,,,,
545,3,141898979,142976707,Wet_AMD,AD,,,,,,,
560,3,158460059,159478751,Wet_AMD,AD,,,,,,,
566,3,164037361,165054911,Wet_AMD,AD,,,,,,,
650,4,53879572,54659778,Wet_AMD,AD,,,,,,,
733,4,148462209,149998528,Wet_AMD,AD,,,,,,,
810,5,39438986,40290851,Wet_AMD,AD,,,,,,,
823,5,55968967,56896890,Wet_AMD,AD,,,,,,,
862,5,103788461,104850490,Wet_AMD,AD,,,,,,,
881,5,124109486,125131720,Wet_AMD,AD,,,,,,,
997,6,65759862,66445495,Wet_AMD,AD,,,,,,,
1075,6,152376500,153082361,Wet_AMD,AD,,,,,,,
1086,6,162254230,163336361,Wet_AMD,AD,,,,,,,
1112,7,13213542,13676747,Wet_AMD,AD,,,,,,,
1322,8,90364150,91457962,Wet_AMD,AD,,,,,,,
1335,8,106500951,107787163,Wet_AMD,AD,,,,,,,
1362,8,137527618,138564843,Wet_AMD,AD,,,,,,,
1541,10,58809134,59822946,Wet_AMD,AD,,,,,,,
1652,11,39329141,40362940,Wet_AMD,AD,,,,,,,
1668,11,57675987,58452708,Wet_AMD,AD,,,,,,,
1689,11,82833182,83677773,Wet_AMD,AD,,,,,,,
1706,11,98929381,99619347,Wet_AMD,AD,,,,,,,
1808,12,73154516,74080747,Wet_AMD,AD,,,,,,,
1895,13,53336572,54684856,Wet_AMD,AD,,,,,,,
1898,13,56434008,58245843,Wet_AMD,AD,,,,,,,
1902,13,62135828,63206535,Wet_AMD,AD,,,,,,,
1910,13,70427881,71010208,Wet_AMD,AD,,,,,,,
1977,14,44623274,45817082,Wet_AMD,AD,,,,,,,
2017,14,89482884,90662836,Wet_AMD,AD,,,,,,,
2329,19,20485500,21155862,Wet_AMD,AD,,,,,,,
2391,20,19957929,21682377,Wet_AMD,AD,,,,,,,
2351,19,45040933,45893307,Wet_AMD,AD,-0.19217,-0.26759,-0.11508,0.0369293,0.01324,0.07161,8.68393e-07
1188,7,101950749,103191322,Wet_AMD,AD,0.658608,0.37924,1,0.433765,0.14382,1,3.10118e-05
2442,21,26467827,27774350,Wet_AMD,AD,-0.526068,-0.82136,-0.2718,0.276748,0.07387,0.67463,0.000125443
1114,7,15013695,15877564,Wet_AMD,AD,-0.720242,-1,-0.35591,0.518748,0.12668,1,0.000244405
491,3,80385709,81431496,Wet_AMD,AD,1,0.39514,1,1,0.15614,1,0.000463255
1801,12,66114644,67183620,Wet_AMD,AD,0.704091,0.31998,1,0.495744,0.10239,1,0.000480893
2471,22,26166935,27192923,Wet_AMD,AD,0.9514,0.43062,1,0.905162,0.18543,1,0.000580561
2337,19,30375793,31763008,Wet_AMD,AD,0.684147,0.29809,1,0.468058,0.08886,1,0.00068901
1536,10,53919162,55104428,Wet_AMD,AD,-0.681765,-1,-0.30448,0.464804,0.09271,1,0.000884781
679,4,88502718,89244554,Wet_AMD,AD,-0.485389,-0.7817,-0.21571,0.235602,0.04653,0.61106,0.000961899
2081,15,79998207,81077025,Wet_AMD,AD,0.692343,0.30552,1,0.479339,0.09334,1,0.000992885
1044,6,115062812,116132147,Wet_AMD,AD,1,0.39862,1,1,0.1589,1,0.00107332
