record_type	panel	metric	outcome	gene_symbol	in_literature_panel	in_biology_guided_panel	value	n	notes	mean	median	q1	q3	minimum	maximum	variant
membership	literature	panel_membership	NA	ACE	True	False	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
membership	biology_guided	panel_membership	NA	APOE	False	True	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
membership	literature	panel_membership	NA	BLNK	True	False	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
membership	literature	panel_membership	NA	BRD2	True	False	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
membership	biology_guided	panel_membership	NA	C1QA	False	True	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
membership	literature	panel_membership	NA	C1R	True	False	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
membership	literature	panel_membership	NA	C1S	True	False	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
membership	biology_guided	panel_membership	NA	C2	False	True	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
membership	biology_guided	panel_membership	NA	C3	False	True	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
membership	biology_guided	panel_membership	NA	C5	False	True	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
membership	biology_guided	panel_membership	NA	CCL2	False	True	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
membership	biology_guided	panel_membership	NA	CCL5	False	True	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
membership	biology_guided	panel_membership	NA	CD14	False	True	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
membership	literature	panel_membership	NA	CD226	True	False	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
membership	literature	panel_membership	NA	CD2AP	True	False	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
membership	literature	panel_membership	NA	CD33	True	False	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
membership	biology_guided	panel_membership	NA	CD40	False	True	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
membership	biology_guided	panel_membership	NA	CFB	False	True	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
membership	biology_guided	panel_membership	NA	CFD	False	True	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
membership	biology_guided	panel_membership	NA	CFH	False	True	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
membership	biology_guided	panel_membership	NA	CFI	False	True	NA	1	Gene-level membership only; assay-level mapping remains separate.	NA	NA	NA	NA	NA	NA	NA
