locus,CHR,START,STOP,phen1,phen2,rho,rho.lower,rho.upper,r2,r2.lower,r2.upper,p
2351,19,45040933,45893307,AD,Dry_AMD,-0.450426,-0.55324,-0.35017,0.202884,0.12262,0.30608,4.96122e-17
2031,14,105091341,106347143,AD,Dry_AMD,1,0.49892,1,1,0.24892,1,1.02897e-06
2073,15,70767984,72058129,AD,Dry_AMD,-0.818394,-1,-0.48136,0.669768,0.23171,1,7.14803e-06
2415,20,51533751,52411532,AD,Dry_AMD,-0.468624,-0.69556,-0.2648,0.219608,0.07012,0.4838,2.11532e-05
1914,13,74437636,75882384,AD,Dry_AMD,-1,-1,-0.50046,1,0.25046,1,2.83401e-05
2176,17,2699136,3430440,AD,Dry_AMD,-0.976239,-1,-0.42532,0.953043,0.1809,1,0.000245145
251,2,45850048,46499326,AD,Dry_AMD,-0.499286,-0.79754,-0.23566,0.249286,0.05554,0.63606,0.000306339
2316,19,8199017,9105577,AD,Dry_AMD,-0.444855,-0.72115,-0.21035,0.197896,0.04425,0.52006,0.00036108
2405,20,41351515,42185671,AD,Dry_AMD,0.811577,0.38184,1,0.658658,0.14581,1,0.000386619
2075,15,73375719,74458113,AD,Dry_AMD,-0.796408,-1,-0.37439,0.634266,0.14017,1,0.000434818
967,6,32682214,32897998,AD,Dry_AMD,-0.532204,-0.84343,-0.26162,0.283241,0.06844,0.71138,0.000440498
155,1,201067953,202583884,AD,Dry_AMD,-0.450826,-0.72854,-0.20282,0.203244,0.04114,0.53077,0.000546471
1557,10,77144962,78665481,AD,Dry_AMD,0.506538,0.22285,0.83911,0.25658,0.04966,0.7041,0.000624252
1037,6,106053916,107309327,AD,Dry_AMD,-1,-1,-0.37731,1,0.14236,1,0.000723395
2324,19,16079007,17045963,AD,Dry_AMD,0.856811,0.34804,1,0.734125,0.12113,1,0.000808452
2136,16,54866096,55907389,AD,Dry_AMD,1,0.30468,1,1,0.09283,1,0.00102799
673,4,79880102,81206182,AD,Dry_AMD,0.757472,0.30571,1,0.573763,0.09346,1,0.00126879
2055,15,47693317,49260006,AD,Dry_AMD,-0.725528,-1,-0.2759,0.52639,0.07612,1,0.00149245
