GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
LOC100996442       1     132447     209392      2       1   74004      -2.1919      0.98581
SAMD11             1     824993     889961    232      31  204502       1.6095     0.053759
KLHL17             1     860967     911099    173      29  214219        2.363    0.0090644
PLEKHN1            1     866872     920488    176      29  239260       2.5928    0.0047594
NOC2L              1     869583     929679    207      32  253255       2.5658    0.0051472
PERM1              1     900579     952473    204      24  266704       1.9463     0.025807
ISG15              1     913847     959920    183      19  293679        1.847     0.032372
AGRN               1     920503    1001499    270      22  282644       1.9752     0.024123
HES4               1     924342     971608    167      18  286573       1.7312     0.041707
RNF223             1     997126    1044687    147      18  283145        2.102     0.017776
C1orf159           1    1007198    1086736    308      23  269937      0.87858      0.18981
TTLL10             1    1074286    1143315    333      35  250902      0.80371      0.21078
TNFRSF18           1    1128888    1177163    226      16  325633      0.41004      0.34089
B3GALT6            1    1132629    1180421    220      15  320554       0.4374      0.33091
TNFRSF4            1    1136706    1184703    222      14  306273      0.31247      0.37734
SDF4               1    1142288    1202447    264      16  299092      0.37669       0.3532
FAM132A            1    1167826    1217102    175      21  281288      0.48623       0.3134
UBE2J2             1    1179292    1244234    229      30  252211      0.32697      0.37184
SCNN1D             1    1180816    1237409    198      27  247414      0.25354      0.39992
PUSL1              1    1208962    1257057    160      25  247216      0.17326      0.43122
ACAP3              1    1217764    1278304    192      27  248936      0.20422      0.41909
CPTP               1    1225136    1274276    153      22  254651      0.25771      0.39832
TAS1R3             1    1231726    1279844    143      19  262854      0.36546      0.35739
CPSF3L             1    1236965    1295067    164      17  284656     0.074105      0.47046
DVL1               1    1260658    1319509    251      20  300850     -0.37188      0.64501
MXRA8              1    1278071    1332183    210      17  305945     -0.41099      0.65946
AURKAIP1           1    1299110    1345818    186      17  306008     -0.13595      0.55407
CCNL2              1    1311091    1369718    194      17  276856     0.075173      0.47004
TMEM88B            1    1326508    1373167    144      15  267415     0.098711      0.46068
MRPL20             1    1327276    1377693    160      17  267426    -0.063134      0.52517
VWA1               1    1335903    1388262    177      20  263729     -0.30464      0.61968
ATAD3C             1    1343152    1415538    255      23  231269     -0.85683      0.80423
ANKRD65            1    1343800    1391824    174      19  255786     -0.63591      0.73758
ATAD3B             1    1372139    1454852    320      23  213091      -0.5022      0.69224
ATAD3A             1    1412523    1480067    288      21  213645     -0.20822      0.58247
TMEM240            1    1460158    1510740    179      22  262724      -0.9284       0.8234
SSU72              1    1467053    1545262    284      30  218660      -1.0472      0.85249
MIB2               1    1515795    1575990    166      22  144102      -1.0521      0.85363
C1orf233           1    1523388    1570476    126      16  138578      -1.6188      0.94726
MMP23B             1    1532060    1580030     98      14  136084      -1.6871       0.9542
CDK11B             1    1561100    1625473    123      20  104781      0.35002      0.36316
SLC35E2B           1    1581486    1659243    210      23  133641      0.63668      0.26217
CDK11A             1    1623822    1690999    204      16  207789       0.7044      0.24059
SLC35E2            1    1646277    1712438    205      18  254814      0.65802      0.25526
NADK               1    1672671    1746508    140      16  288457      0.65263        0.257
GNB1               1    1706725    1857552    287      20  297533      0.25478      0.39945
CALML6             1    1811266    1858733    129      14  298671     -0.39501      0.65358
TMEM52             1    1839029    1885740    178      14  291736     -0.17553      0.56967
CFAP74             1    1843390    1970276    513      39  269060     -0.30419      0.61951
GABRD              1    1915768    1972192    201      29  260424      -1.7962      0.96377
PRKCZ              1    1946909    2126834    538      39  298768      -2.3357      0.99025
LOC100506504       1    2103250    2150812     99      19  300525     -0.87362      0.80884
C1orf86            1    2105899    2179159    170      29  306564     0.030613      0.48779
SKI                1    2125134    2251652    356      46  305270      0.43947      0.33016
MORN1              1    2241719    2358190    477      60  315000     -0.76397      0.77756
RER1               1    2288214    2346883    202      39  327962      -1.1245       0.8696
PEX10              1    2326241    2379010    197      47  309129       -2.569       0.9949
PLCH2              1    2372754    2446964    285      37  282658      -1.7085      0.95623
PANK4              1    2429975    2493061    158      21  288953      -2.7232      0.99677
HES5               1    2450184    2496684    109      17  270569      -2.7496      0.99702
TNFRSF14           1    2452291    2505268    133      16  279715      -2.6981      0.99651
FAM213B            1    2482899    2532908    164      13  323657      -1.4915      0.93209
MMEL1              1    2512078    2599499    240      15  339167      -1.4038      0.91981
TTC34              1    2562807    2741230    330      16  230508      -1.0564      0.85461
ACTRT2             1    2903046    2949467    175       7  330796    -0.078566      0.53131
PRDM16             1    2950565    3365185   1659     168  301159     -0.40444      0.65706
ARHGEF16           1    3336147    3407677    274      31  305312      -1.0083      0.84334
MEGF6              1    3394506    3563059    682      89  298398      -1.5749      0.94236
TPRG1L             1    3506556    3556695    220      36  321289     -0.48747      0.68704
TP73               1    3534129    3662765    466      73  293345     -0.70124      0.75842
WRAP73             1    3537331    3601671    220      43  298711     -0.10506      0.54184
CCDC27             1    3633965    3698209    257      32  304314      0.23427      0.40739
SMIM1              1    3654352    3702546    206      30  309229      0.53097      0.29772
LRRC47             1    3686784    3748068    351      22  314494      0.49981      0.30861
CEP104             1    3718645    3808797    573      31  315178      0.57138      0.28387
DFFB               1    3738845    3811993    475      35  311647      0.66178      0.25406
C1orf174           1    3795697    3851857    214      29  263280      0.25017      0.40123
AJAP1              1    4680105    4853851    859      92  350648       1.3767     0.084295
NPHP4              1    5912870    6087618    560      27  343660    0.0083281      0.49668
KCNAB2             1    6017358    6171253    479      57  319458     -0.31179       0.6224
CHD5               1    6151847    6275194    412      41  320649    -0.010626      0.50424
RNF207             1    6231189    6291359    153      22  302130      0.84605      0.19876
RPL22              1    6235080    6294679    142      22  303316      0.97958      0.16365
HES3               1    6269252    6315638     99      14  306868      0.62769       0.2651
ICMT               1    6271253    6331044    142      19  304747      0.39912       0.3449
GPR153             1    6297406    6356035    149      23  314322      0.35389      0.36171
ACOT7              1    6314332    6488826    592      28  328287       1.2767      0.10086
ESPN               1    6449836    6531004    272      16  318713      0.50021      0.30846
HES2               1    6465292    6519724    176      16  325223      0.63577      0.26246
TNFRSF25           1    6510787    6562432    121      19  295598    -0.095813      0.53817
PLEKHG5            1    6516152    6615121    305      27  314898     -0.50989      0.69494
NOL9               1    6571407    6649658    234      11  312739     -0.44802      0.67293
TAS1R1             1    6579987    6649817    202      10  311266     -0.50229      0.69227
ZBTB48             1    6605051    6659340    145      16  308394      0.25926      0.39772
PHF13              1    6638756    6694093    103      16  334586       2.5664    0.0051379
KLHL21             1    6640784    6697958    113      16  342683       2.8254    0.0023611
THAP3              1    6649925    6705646    115      16  346375       2.9221    0.0017381
DNAJC11            1    6684228    6796966    268      16  338945       2.4347    0.0074522
CAMTA1             1    6810384    7839766   3092     204  330863       1.2054      0.11403
VAMP3              1    7796329    7851492    156      26  366957      -1.4635      0.92834
PER3               1    7809413    7915241    365      29  367317     -0.55981       0.7122
UTS2               1    7897672    7948551    235      29  367760    0.0082457      0.49671
TNFRSF9            1    7965931    8038225    153      21  330653       -0.525      0.70021
PARK7              1    7986714    8055342    136      18  326574     -0.91982      0.82117
ERRFI1             1    8061779    8121393     83       8  356473   -0.0065337      0.50261
SLC45A1            1    8343171    8414227    206      27  329764       1.6437      0.05012
RERE               1    8402464    8912699    802      26  345152       1.3091     0.095247
ENO1               1    8911059    8974151    146      19  323685      0.99131      0.16077
CA6                1    8970893    9045151    316      51  314467      0.87114      0.19184
SLC2A7             1    9053359    9121404    233      37  322749      0.77163      0.22017
SLC2A5             1    9087005    9166763    305      25  341827     -0.21967      0.58693
GPR157             1    9153472    9224229    189      26  325497      -1.5927      0.94438
H6PD               1    9259822    9341396    340      34  331879      0.63773      0.26182
SPSB1              1    9300202    9439591    588      73  332503       2.3634    0.0090534
SLC25A33           1    9564528    9652831    147      19  303778     -0.17932      0.57116
TMEM201            1    9613932    9684935    100      12  297068       0.5352      0.29626
PIK3CD             1    9676789    9799172    253      35  316921     -0.87247      0.80852
CLSTN1             1    9779079    9919550    227      25  303667       -1.519      0.93562
CTNNBIP1           1    9898334   10005316    168      28  293636      0.11519      0.45415
NMNAT1             1    9968486   10055556    166      20  322145    -0.022121      0.50882
LZIC               1    9972168   10038460    133      17  320381      0.15831      0.43711
RBP7               1   10022255   10086078    125      13  326308     -0.60301      0.72675
UBE4B              1   10058041   10251297    428      20  322878     -0.18973      0.57524
KIF1B              1   10235606   10451664    711      21  353570      0.18372      0.42712
PGD                1   10423884   10490565    213      21  316854      0.23056      0.40883
APITD1             1   10454944   10520239    187      22  307955       0.7497      0.22672
APITD1-CORT        1   10455159   10522060    188      22  304002      0.78868      0.21515
CORT               1   10474776   10522060    136      15  297381       1.0001      0.15864
PEX14              1   10500003   10700815    494      33  314306      0.68796      0.24574
DFFA               1   10510588   10567613    136      14  306558      0.82027      0.20603
CASZ1              1   10686661   10891733    594     104  282758     -0.17335      0.56881
C1orf127           1   10996530   11077094    276      28  309087       1.4189     0.077964
TARDBP             1   11037462   11095549    158      18  291024       1.7426     0.040703
MASP2              1   11076580   11142296    179      11  308371      0.78758      0.21547
SRM                1   11104649   11155091    144       8  325066      0.51656      0.30273
EXOSC10            1   11116675   11194961    213       9  288672      0.28423      0.38812
MTOR               1   11156588   11357614    431      14  261842     -0.53742      0.70451
ANGPTL7            1   11214346   11266038    111       6  219490     -0.37225      0.64515
UBIAD1             1   11298255   11358491    117      12  302833      -0.8178      0.79327
PTCHD2             1   11504295   11607640    289      17  346451      0.35436      0.36154
FBXO44             1   11679432   11733384    173      33  294617     -0.37904      0.64767
FBXO6              1   11689150   11744411    191      37  294652      -0.2159      0.58547
FBXO2              1   11697924   11749888    166      34  290244     0.049835      0.48013
DRAXIN             1   11716781   11790336    243      45  305295     -0.45201      0.67437
MAD2L2             1   11724537   11786678    215      40  308542     -0.46496      0.67902
AGTRAP             1   11761142   11820828    191      37  301384     -0.58997       0.7224
C1orf167           1   11788827   11859642    294      27  337112       0.7736      0.21958
CLCN6              1   11831153   11913201    434      20  360074      0.94875      0.17137
MTHFR              1   11835787   11901160    352      15  359918       1.0095      0.15637
NPPA               1   11895766   11942840    209      27  355979     -0.86348      0.80606
NPPB               1   11907521   11953992    196      22  351514      -1.1591      0.87679
PLOD1              1   11959724   12045599    303      22  342364     0.098082      0.46093
KIAA2013           1   11969645   12021485    188      22  346917      0.21511      0.41484
MFN2               1   12005238   12083572    216      22  347411     -0.46312      0.67836
MIIP               1   12044299   12102106    140      17  333270      0.04689       0.4813
TNFRSF8            1   12088434   12214264    326      56  296362       -1.059      0.85519
TNFRSF1B           1   12192044   12279279    263      28  312712      0.94687      0.17185
VPS13D             1   12255101   12582099    583      31  265828       1.4285     0.076573
DHRS3              1   12617939   12712820    369      47  313953       1.9593     0.025037
AADACL4            1   12669566   12737097    215      27  286733       2.0059     0.022435
AADACL3            1   12741118   12798726    172      23  293151       2.1916     0.014203
C1orf158           1   12771163   12831102    210      17  308843       1.6011     0.054676
PRAMEF12           1   12799984   12848049    146      18  309781       1.5023     0.066513
PRAMEF1            1   12816546   12866777    201      26  271744      0.46809      0.31986
PRAMEF11           1   12874468   12926264    324      21  174670      0.52631      0.29934
PRAMEF2            1   12881941   12931764    309      20  177819      0.66459      0.25316
HNRNPCL1           1   12897261   12943578    290      17  174731      0.81512       0.2075
PRAMEF4            1   12929033   12981025     72      13   83770     -0.52862      0.70146
PRAMEF7            1   12941467   12990300     46      11   79245     -0.97296      0.83471
PRAMEF10           1   12942727   12993094     38      11   79196      -1.0773      0.85933
PRAMEF6            1   12988302   13042406      2       1   74004      -1.6584      0.95138
PRAMEF22           1   13000543   13048381      3       1   67285      -1.1183      0.86829
PRAMEF25           1   13105447   13155000     19       2   52864       1.0815      0.13974
HNRNPCL2           1   13172960   13219326    104      13  104490      0.22226      0.41206
PRAMEF5            1   13324819   13379057      4       2   38187      0.15574      0.43812
LOC645382          1   13376517   13424502      7       3   41144    -0.087386      0.53482
PRAMEF8            1   13376646   13425765      7       3   41144    -0.087386      0.53482
LOC400736          1   13437414   13487656      2       1    7409       1.7068     0.043933
PRAMEF16           1   13460254   13508260      3       2    7409       2.1191      0.01704
LOC391003          1   13464053   13512569      3       2    7409       2.1191      0.01704
PRAMEF15           1   13606973   13658987      1       1   74004       1.0939        0.137
PRAMEF14           1   13658269   13708511     10       5   74745      0.42895      0.33398
PRAMEF17           1   13681088   13729064     20       7   77067      0.13846      0.44494
PRAMEF19           1   13684889   13733405     20       7   77067      0.13846      0.44494
PRAMEF20           1   13701907   13757803     30       9   78088     -0.69713      0.75714
