GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
LOC100996442       1     132447     209392      2       1  198982       1.3343     0.091047
SAMD11             1     824993     889961    232      31  198982      0.46621      0.32053
KLHL17             1     860967     911099    164      30  198982       1.2883     0.098826
PLEKHN1            1     866872     920488    165      29  198982       1.1959      0.11587
NOC2L              1     869583     929679    197      32  198982       1.2396      0.10755
PERM1              1     900579     952473    198      25  198982        1.153      0.12445
ISG15              1     913847     959920    181      19  198982      0.94378      0.17264
AGRN               1     920503    1001499    258      22  198982      0.74167      0.22914
HES4               1     924342     971608    158      17  198982       0.8949      0.18542
RNF223             1     997126    1044687    133      17  198982      0.71469       0.2374
C1orf159           1    1007198    1086736    275      23  198982      0.45871      0.32322
TTLL10             1    1074286    1143315    307      34  198982     -0.77375      0.78046
TNFRSF18           1    1128888    1177163    220      16  198982       -1.207      0.88629
B3GALT6            1    1132629    1180421    214      16  198982      -1.4647       0.9285
TNFRSF4            1    1136706    1184703    209      15  198982      -1.8757      0.96965
SDF4               1    1142288    1202447    250      19  198982      -1.2179      0.88836
FAM132A            1    1167826    1217102    166      21  198982     -0.37233      0.64518
UBE2J2             1    1179292    1244234    208      29  198982     -0.10558      0.54204
SCNN1D             1    1180816    1237409    178      26  198982    -0.059658      0.52379
PUSL1              1    1208962    1257057    145      25  198982    -0.081181      0.53235
ACAP3              1    1217764    1278304    172      27  198982      0.55229      0.29037
CPTP               1    1225136    1274276    138      21  198982       0.6386      0.26154
TAS1R3             1    1231726    1279844    127      19  198982      0.59036      0.27748
CPSF3L             1    1236965    1295067    151      17  198982      0.61552      0.26911
DVL1               1    1260658    1319509    232      20  198982      0.55519      0.28938
MXRA8              1    1278071    1332183    196      17  198982      0.54464        0.293
AURKAIP1           1    1299110    1345818    177      17  198982      0.64661      0.25894
CCNL2              1    1311091    1369718    190      17  198982      0.70566       0.2402
TMEM88B            1    1326508    1373167    140      16  198982      0.42258       0.3363
MRPL20             1    1327276    1377693    156      18  198982      0.23102      0.40865
VWA1               1    1335903    1388262    169      20  198982     -0.24593      0.59713
ATAD3C             1    1343152    1415538    227      28  198982     -0.52661      0.70077
ANKRD65            1    1343800    1391824    163      19  198982     -0.66125      0.74577
ATAD3B             1    1372139    1454852    274      20  198982    -0.096976      0.53863
ATAD3A             1    1412523    1480067    257      21  198982     0.038169      0.48478
TMEM240            1    1460158    1510740    174      23  198982     0.085493      0.46593
SSU72              1    1467053    1545262    274      28  198982      0.47633      0.31692
MIB2               1    1515795    1575990    160      22  198982       1.3123     0.094709
C1orf233           1    1523388    1570476    121      16  198982       1.2739      0.10136
MMP23B             1    1532060    1580030     96      15  198982       1.1404      0.12706
CDK11B             1    1561100    1625473    114      21  198982       0.2491      0.40164
SLC35E2B           1    1581486    1659243    176      22  198982     -0.13336      0.55305
CDK11A             1    1623822    1690999    165      14  198982     -0.16697       0.5663
SLC35E2            1    1646277    1712438    178      17  198982    -0.071542      0.52852
NADK               1    1672671    1746508    134      16  198982      0.42653      0.33486
GNB1               1    1706725    1857552    269      20  198982       1.3036     0.096192
CALML6             1    1811266    1858733    113      14  198982       1.6621     0.048249
TMEM52             1    1839029    1885740    155      14  198982       1.7493     0.040118
CFAP74             1    1843390    1970276    460      41  198982       1.0383      0.14955
GABRD              1    1915768    1972192    194      29  198982      0.37476      0.35392
PRKCZ              1    1946909    2126834    508      37  198982     -0.10087      0.54017
LOC100506504       1    2103250    2150812     95      19  198982     -0.96926      0.83379
C1orf86            1    2105899    2179159    163      29  198982      -0.4563      0.67591
SKI                1    2125134    2251652    347      49  198982      0.32844      0.37129
MORN1              1    2241719    2358190    456      62  198982       1.4201     0.077792
RER1               1    2288214    2346883    189      38  198982      0.77885      0.21803
PEX10              1    2326241    2379010    193      47  198982      0.85621      0.19594
PLCH2              1    2372754    2446964    269      36  198982      -1.4843      0.93114
PANK4              1    2429975    2493061    152      20  198982     -0.59229      0.72317
HES5               1    2450184    2496684    104      16  198982     -0.63829      0.73836
TNFRSF14           1    2452291    2505268    126      15  198982      -0.8089      0.79071
FAM213B            1    2482899    2532908    149      13  198982      -0.5963      0.72451
MMEL1              1    2512078    2599499    220      15  198982    -0.094631       0.5377
TTC34              1    2562807    2741230    210      19  198982     -0.42032      0.66287
ACTRT2             1    2903046    2949467    164       7  198982      0.93365      0.17524
PRDM16             1    2950565    3365185   1556     166  198982       1.8404     0.032856
ARHGEF16           1    3336147    3407677    264      30  198982      0.99886      0.15893
MEGF6              1    3394506    3563059    660      91  198982       1.2015      0.11478
TPRG1L             1    3506556    3556695    216      36  198982      0.94738      0.17172
