trait	locus	chromosome	locus_start_bp	locus_end_bp	locus_source	genes_tested_genome_wide	bonferroni_threshold	genes_overlapping_locus	bonferroni_significant_genes_in_locus	best_gene	best_Z	best_P	max_log10P	interpretation
"AD"	"APOE"	19	45040933	45893307	"LAVA locus 2351"	18520	2.69978401727862e-06	30	30	"BCL3"	9.0289	8.6729e-20	19.0618356610694	"At least one gene in this prespecified LAVA locus passed the phenotype-specific genome-wide gene Bonferroni threshold."
"AD"	"IGH"	14	105091341	106347143	"LAVA locus 2031"	18520	2.69978401727862e-06	24	0	"TEX22"	3.4977	0.00023463	3.62961645939235	"No gene in this prespecified LAVA locus passed the phenotype-specific genome-wide gene Bonferroni threshold."
"AD"	"chr2"	2	44104111	45189468	"LAVA locus 249"	18520	2.69978401727862e-06	7	0	"ABCG8"	2.5907	0.0047895	2.31970982240487	"No gene in this prespecified LAVA locus passed the phenotype-specific genome-wide gene Bonferroni threshold."
"AD"	"chr20"	20	51533751	52411532	"LAVA locus 2415"	18520	2.69978401727862e-06	2	0	"ZNF217"	1.8898	0.029391	1.53178563723145	"No gene in this prespecified LAVA locus passed the phenotype-specific genome-wide gene Bonferroni threshold."
"Dry AMD"	"APOE"	19	45040933	45893307	"LAVA locus 2351"	18434	2.71237929912119e-06	30	2	"APOC1"	7.2521	2.0517e-13	12.6878861415473	"At least one gene in this prespecified LAVA locus passed the phenotype-specific genome-wide gene Bonferroni threshold."
"Dry AMD"	"IGH"	14	105091341	106347143	"LAVA locus 2031"	18434	2.71237929912119e-06	24	0	"TMEM179"	1.5061	0.066016	1.18035079370694	"No gene in this prespecified LAVA locus passed the phenotype-specific genome-wide gene Bonferroni threshold."
"Dry AMD"	"chr2"	2	44104111	45189468	"LAVA locus 249"	18434	2.71237929912119e-06	7	0	"SIX3"	2.0042	0.022522	1.64739304586348	"No gene in this prespecified LAVA locus passed the phenotype-specific genome-wide gene Bonferroni threshold."
"Dry AMD"	"chr20"	20	51533751	52411532	"LAVA locus 2415"	18434	2.71237929912119e-06	2	0	"ZNF217"	1.7235	0.042401	1.37262390073367	"No gene in this prespecified LAVA locus passed the phenotype-specific genome-wide gene Bonferroni threshold."
"Wet AMD"	"APOE"	19	45040933	45893307	"LAVA locus 2351"	18434	2.71237929912119e-06	30	2	"APOC1"	6.5629	2.6386e-11	10.578626441898	"At least one gene in this prespecified LAVA locus passed the phenotype-specific genome-wide gene Bonferroni threshold."
"Wet AMD"	"IGH"	14	105091341	106347143	"LAVA locus 2031"	18434	2.71237929912119e-06	24	0	"JAG2"	2.1988	0.013947	1.85551919909725	"No gene in this prespecified LAVA locus passed the phenotype-specific genome-wide gene Bonferroni threshold."
"Wet AMD"	"chr2"	2	44104111	45189468	"LAVA locus 249"	18434	2.71237929912119e-06	7	0	"PPM1B"	1.1553	0.12398	0.906648367984445	"No gene in this prespecified LAVA locus passed the phenotype-specific genome-wide gene Bonferroni threshold."
"Wet AMD"	"chr20"	20	51533751	52411532	"LAVA locus 2415"	18434	2.71237929912119e-06	2	0	"TSHZ2"	-0.36072	0.64085	0.193243611348028	"No gene in this prespecified LAVA locus passed the phenotype-specific genome-wide gene Bonferroni threshold."
"Any AMD"	"APOE"	19	45040933	45893307	"LAVA locus 2351"	18434	2.71237929912119e-06	30	5	"APOC1"	7.675	8.2712e-15	14.0824314776819	"At least one gene in this prespecified LAVA locus passed the phenotype-specific genome-wide gene Bonferroni threshold."
"Any AMD"	"IGH"	14	105091341	106347143	"LAVA locus 2031"	18434	2.71237929912119e-06	24	0	"CDCA4"	1.7448	0.04051	1.39243775681641	"No gene in this prespecified LAVA locus passed the phenotype-specific genome-wide gene Bonferroni threshold."
"Any AMD"	"chr2"	2	44104111	45189468	"LAVA locus 249"	18434	2.71237929912119e-06	7	0	"PPM1B"	1.559	0.059497	1.22550493202427	"No gene in this prespecified LAVA locus passed the phenotype-specific genome-wide gene Bonferroni threshold."
"Any AMD"	"chr20"	20	51533751	52411532	"LAVA locus 2415"	18434	2.71237929912119e-06	2	0	"TSHZ2"	1.3845	0.083106	1.08036762034555	"No gene in this prespecified LAVA locus passed the phenotype-specific genome-wide gene Bonferroni threshold."
